country,category,url,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,225000,225000,225000,265000,287000,315000,372000,375000,379000,364000,293000,360000,385000,407000,420000,471000,430000,440000,442000,459000,455000,444000,434000,418000,408000,365000,360000,365000,365000,365000,365000,330000,330000,330000,330000,330000,330000,330000,330000,330000,365000,365000,365000,349100,345700,350000,360000,364000,378000,397000,492464,590065,610570,744847,805072,874541,859903,984081
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,43412,48800,20160,38678,42900,54100,48500,57800,59700,65000,52000,57000,61000,62000,64000,67000,64000,72000,66000,68000,70300,79900,82000,70000,80400,63700,77500,75200,79800,90700,57700,37800,40400,44000,55493,59115,67466,68327,70400,79300,85100,83100,105500,97100,115100,127800,146500,153900,162800,184900,195200,196800,204000,203700,205000,205001,202948,184832
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,1845000,1668000,1696000,1416000,1902000,931300,889000,1399000,1237000,1275000,1295000,761000,794000,837000,587000,518000,370000,263000,386000,407000,400000,255000,315000,415000,469000,465000,282000,301000,270426,262794,251370,229073,212652,141294,196351,195400,192190,146670,177905,203617,196159,234397,277968,283900,334021,398018,244999,401992,492525,560562,402592,543169,570840,518035,568069,571351,566579,502978
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,2174000,2460000,2678000,2544000,2342000,2777000,3624000,2590000,2354000,2668000,2886000,2600000,2610000,3528000,3100000,3760000,3400000,2800000,3452505,3086772,2929914,3571000,3504470,2638509,2252870,2563235,3693546,3191750,2970586,2342350,2081620,2126620,1940981,2497360,2854814,2039893,2481910,2001673,2441660,2459860,2481530,2281190,2339460,2650972,2829711,2880927,3092509,2821696,2181567,2619661,2890296,2244220,2871749,2635109,2415571,1758418,1965206,2573311
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",142105,134900,212400,154900,158200,107719,105900,114754,115841,116500,103962,81600,148892,164353,201371,218883,185832,208649,222905,229589,241429,240816,261325,309181,178752,209954,179668
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,534975,637978,478990,665300,690531,591459,694748,638611,553411,757668,548000,826956,603200,552200,727800,711900,728384,693600,716400,865300,743400,884922,768067,840866,889638,907847,783000,798814,859165,824261,851141,987142,791217,919608,768827,1086509,943113,1112170,1265536,1311382,1546002,1753888,1496939,2014965,2026500,1981198,1530439,1778510,1856100,1684345,1757700,1656621,1762572,1557362,1728759,1772911,1824431,1663557
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,171000,129000,234000,403404,197107,206510,368502,352008,321900,439950,250000,369000,341912,236719,384943,413048,369348,479000,395000,439000,350000,700000,528000,360000,170000,320000,310000,472800,348400,411600,412435,345095,248731,352885,297196,281378,240233,360423,373784,311788,337410,346598,337313,364608,301869,300840,350403,399163,313583,231660,375301,287301,318926,266491,302454,260337,331428,367131
Azerbaijan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/azerbaijan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",607000,411300,313800,308700,274982,145333,144223,112543,76936,68096,62125,65009,54900,79655,94142,103363,115822,129159,129536,137038,150987,148535,147701,157076,136499,152843,167591
Bahamas,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bahamas/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bahrain,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bahrain/flag-button-round-250.png,80,80,100,100,100,40,40,40,50,50,60,60,60,70,70,70,79,90,100,100,100,100,100,100,100,102,105,110,115,118,120,125,128,130,130,130,131,130,130,133,134,136,137,138,140,142,143,143,144,144,145,145,146,147,149,150,150,151
Bangladesh,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bangladesh/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Barbados,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/barbados/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Belarus,Europe,https://cdn.countryflags.com/thumbs/belarus/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4500,8000,14000,8000,11000,14500,14000,15000,14500,15612,15037,15050,15233
Belgium,Europe,https://cdn.countryflags.com/thumbs/belgium/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",800,400,400,450,500,509,550,100,90,100,255,654,932,1197,1510,1739,2240,2389,2881
Belize,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/belize/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Benin,Africa,https://cdn.countryflags.com/thumbs/benin/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bhutan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bhutan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,9000,9000,10000,10000,10000,10000,11000,10900,11600,12100,13200,18000,16500,16870,17700,20755,21000,25115,24555,24175,23570,23315,22805,19958,17935,19317,18500,18000,18855,18825,17688,18795,20223,21028,20146,21738,23718,21421,23815,26435,27761,29358,30783,32246,33313,33552,32924,32737,24296,25702,25836,26176,31897,19956,20502,21167,22066,22674
Bosnia & H.,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",30700,18000,12000,8500,8000,12497,12804,12723,12442,13873,14203,21804,21715,23273,21498,21235,23912,25617,23163,21601,25931,31800,26221,32809,36904,28013,40408
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,450942,400601,506802,403069,550892,522640,500791,539036,483443,598016,502295,564200,495384,563510,580586,628020,659690,666594,703814,445961,663149,688928,577480,603172,712182,587770,554394,758179,691972,804774,648026,800112,787363,807520,836545,684902,890708,774352,931500,1024482,1058579,1148648,1067422,1291382,1232564,1257064,1371555,1421431,1365491,1355461,1495336,1514768,1439535,1454183,1497302,1113345,1743430,1591986
Brunei,Asia & the Pacific,https://cdn.countryflags.com/thumbs/brunei/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,579260,1053197,1158328,906744,1333909,1081041,923282,1335915,1285294,1039812,1058953,933204,1298938,1090137,885439,1206956,868017,1100292,1010262,951548,1126246,1246212,1000230,1119707,905384,923567,942643,922293,742902,731384,747907,787214,482358,515709,699336,661079,636411,396250,372173,451474,433498,408911,433619,351468,266183,307173,376663,363539,281302,230198,243839,260672,325596,132731,261820,211083,201529,195470
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cambodia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cambodia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cameroon,Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-button-round-250.png,38663,41927,48434,54247,57158,55581,60830,55152,56344,65543,70209,56425,59881,72430,76774,80682,63781,84290,73313,74854,73026,74118,84791,94208,76636,89218,85704,84979,51015,55936,56646,54668,42270,49178,57315,57839,56048,60392,69681,64188,67243,70339,55214,78120,45216,79664,75723,80962,67508,75598,90567,92111,104729,88319,88769,116627,131112,120293
Cape Verde,Africa,https://cdn.countryflags.com/thumbs/cape-verde/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,853000,972000,803000,852000,630000,836000,863000,943000,709000,668000,910000,1037000,953000,808000,767000,841000,940000,955000,1050000,1050000,1100000,1150000,1000000,900000,1000000,900000,963000,999100,1037000,1170800,1186390,1140660,1300220,1448960,1526160,1629905,1669190,1642093,1575000,1899943,1800548,1750000,1985000,1900000,2250000,2300000,2350000,2400000,2600000,2629024,2779966,2513073,2767358,2633295,2700000,2200000,2000000,2500000
China,Asia & the Pacific,https://cdn.countryflags.com/thumbs/china/flag-button-round-250.png,71831,86200,87129,103559,103392,101784,94858,106801,101879,96156,124227,123745,133066,122544,139475,132861,104724,121530,169148,159932,216818,240737,331416,364798,446997,510997,707109,880395,978629,961217,1029510,1254533,1520041,1681592,1895760,2020557,2113830,2431627,2814698,3373216,3765017,4564472,5268022,5773184,5865505,6373091,6529881,7067056,7746891,8238131,8684180,10105167,10981856,11813199,13249535,12709080,13175502,13494811
Colombia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/colombia/flag-button-round-250.png,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,11000,12000,14000,15000,16416,16615,17790,18025,20800,21200,15360,11715,15950,17572,20766,20768,18171,15913,20035,22671,16460,16500,16190,14753,13033,12000,13011,12191,16388,14527,20201,20167,24611,32588,37224,37376,38125,37380,24153,25031,25631,24519,24951,29152,27693,24844
Comoros,Africa,https://cdn.countryflags.com/thumbs/comoros/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Congo,Africa,https://cdn.countryflags.com/thumbs/congo-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Costa Rica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/costa-rica/flag-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cote d'Ivoire,Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Croatia,Europe,https://cdn.countryflags.com/thumbs/croatia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",379808,396013,363020,339141,373134,406089,421180,394066,182436,186175,188749,183451,174536,181021,179426,197979,185256,206437,207743,204373,187550,181096,134941,154227,123651,116307,146242
Cuba,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/cuba/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",28000,29000,27000,21000,22000,20000,20000,19000,20000,20000,19000,20000,21000,22000,22000,21000,20624,21466,21817,21982
Cyprus,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cyprus/flag-button-round-250.png,130810,127000,63000,95250,127000,142240,147320,168656,203200,182880,184912,167640,96520,147320,172720,167640,155448,182880,203200,208280,213360,201168,210000,198500,210000,151000,173000,198000,212000,156000,90000,122000,135500,92000,119400,114000,101000,124000,105300,108018,88073,62400,80360,108515,50986,39980,33892,32381,29688,28298,25064,20531,20326,20125,21685,17583,22823,23454
Czech Rep.,Europe,https://cdn.countryflags.com/thumbs/czech-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",51209,64522,42620,69694,35758,55172,67073,66937,68346,56682,67412,69733,62597,57635,99029,98323,68737,45923,91253,59990,74721,63533,90608,75905,79774,103704
DR Congo,Africa,https://cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Denmark,Europe,https://cdn.countryflags.com/thumbs/denmark/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Djibouti,Africa,https://cdn.countryflags.com/thumbs/djibouti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Dominica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominica/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Dominican Rep.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominican-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ecuador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/ecuador/flag-button-round-250.png,258,178,167,139,477,409,492,936,1285,1203,2026,1148,693,794,636,649,427,399,391,420,455,478,450,438,213,130,150,145,157,140,138,128,87,77,168,192,441,620,291,644,432,311,299,368,474,500,540,355,400,472,495,477,485,495,523,506,512,519
Egypt,Africa,https://cdn.countryflags.com/thumbs/egypt/flag-button-round-250.png,106000,120172,105412,91042,90047,118014,117000,117000,110000,108000,128000,164000,166000,227000,225000,307598,248000,274000,242311,299131,297977,305664,344000,357000,395000,452000,510000,557000,621000,584694,526716,658061,726082,707049,739478,943702,867905,957734,1009560,1075100,1078910,1073815,1196852,1275288,1391750,1431970,1485010,1531418,1370241,1360251,1320801,1378815,1434666,1596169,1686706,1691194,1734424,1759472
El Salvador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/el-salvador/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Equatorial Guinea,Africa,https://cdn.countryflags.com/thumbs/equatorial-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Eritrea,Africa,https://cdn.countryflags.com/thumbs/eritrea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Estonia,Europe,https://cdn.countryflags.com/thumbs/estonia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ethiopia,Africa,https://cdn.countryflags.com/thumbs/ethiopia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4331,4000,3985,4075,4192,4237,4750,6200,6600,6800,6785,6795,6835,7000,6790,6577,6275,5000,5009,5000,5000,4991,4533,4323,4147,3971
Fiji,Asia & the Pacific,https://cdn.countryflags.com/thumbs/fiji/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Finland,Europe,https://cdn.countryflags.com/thumbs/finland/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
France,Europe,https://cdn.countryflags.com/thumbs/france/flag-button-round-250.png,7491000,11505000,8775000,9588000,10521000,9612413,9565882,10227603,7919224,11617697,9580758,8997215,12543626,11524000,10000000,11100000,7773000,8711000,12480000,10321000,8610000,11540000,9930000,9334000,8970000,9474500,9186000,7218542,7672400,8205280,5465540,7994900,6657000,6945400,7212900,7716400,7190900,6919069,8040710,7762582,7225357,6853482,6307112,7564902,6790215,6776880,6019056,6019149,6101525,5893530,6640980,5384561,5540835,6204909,6258363,6027506,5011054,6198323
Gabon,Africa,https://cdn.countryflags.com/thumbs/gabon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Gambia,Africa,https://cdn.countryflags.com/thumbs/gambia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Georgia,Europe,https://cdn.countryflags.com/thumbs/georgia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",328000,352334,284500,422400,311300,309100,238496,220000,210000,150000,90000,200000,180000,250294,162500,227300,175800,150100,120700,159600,144000,222800,172600,214500,159200,180800,259900
Germany,Europe,https://cdn.countryflags.com/thumbs/germany/flag-button-round-250.png,482500,530300,814600,970000,680000,649200,819300,816500,802800,1335000,1084900,1006600,1444100,918700,1247500,1169000,1402500,985100,1104400,625700,966500,2079400,1760500,1079100,815000,1460000,1310000,1345000,1956000,1275000,1420000,1799000,1372000,1520000,1487000,1263000,1146800,1462600,1659000,1361000,1226000,1368000,1130000,1184000,1449000,1224700,1400600,1351500,1235000,952500,1250000,1227000,1140000,1245000,1199030,1225570,1014235,1403597
Ghana,Africa,https://cdn.countryflags.com/thumbs/ghana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Gibraltar,Europe,http://img.freeflagicons.com/thumb/round_icon/gibraltar/gibraltar_640.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Greece,Europe,https://cdn.countryflags.com/thumbs/greece/flag-button-round-250.png,1420137,1596070,1118190,1331198,1480983,1479638,1352835,1714201,1683194,1558359,1465272,1368000,1407180,1558450,1503870,1454170,1424900,1487400,1388940,1521010,1602190,1569140,1680690,1710810,1680468,1603384,1387081,1474232,1588605,1122435,1292400,1263340,729949,695043,720074,726365,710706,703463,701527,667626,724008,604715,731707,716802,730506,746221,653905,667900,668685,652812,621158,624978,620921,1045990,1044700,833845,827537,933150
Greenland,North America,https://image.flaticon.com/icons/svg/197/197453.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Grenada,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/grenada/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guatemala,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guatemala/flag-button-round-250.png,500,500,1000,1000,1000,1500,1500,1500,2000,2000,2500,2500,3000,3000,3500,3500,4000,5000,6000,8000,7000,5000,5000,5000,5000,5000,5500,6000,9500,9890,10120,10654,11592,12420,12558,13662,13800,14117,14424,14243,14300,14517,15414,15651,15956,16260,16565,16870,17174,17479,17784,18088,18393,18726,19159,19462,19781,20099
Guinea,Africa,https://cdn.countryflags.com/thumbs/guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guinea-Bissau,Africa,https://cdn.countryflags.com/thumbs/guinea-bissau/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guyana,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guyana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Haiti,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/haiti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Honduras,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/honduras/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",138,140,144,150,148,148,150,147,149,148,150,152,155,163,180,181,169,171,172,173,174,175,178,178,179,180
Hong Kong,Asia & the Pacific,https://image.flaticon.com/icons/svg/197/197570.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
