country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13
Israel,Asia & the Pacific,https://cdn.countryflags.com/thumbs/israel/flag-button-round-250.png,"","","","","",3,4,4,7,11,11,11,17,23,29,29,29,29,29,68,97,172,210,247,275,277,305,348,393,429,457,472,485,560,618,722,845,979,1094,1252,1412,1585,1811,1934,2111,2413,2800,3275,3863,4381,4892,5614,6399,7044,8186,9464,11599,14255,16758,19401,21375,24734,28599,33666,38906,44461,49475,54436,60925,66606,74457,82670,91752,101655,108302,117581,124831,131423,136993,142514,148494,154579,162384,""
Italy,Europe,https://cdn.countryflags.com/thumbs/italy/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4324,8623,9587,12014,15695,18661,21127,23345,25856,29837,32362,36359,42062,49937,53826,60761,73154,86011,97488,109170,124899,137962,148657,165541,182777,206886,233222,258402,275468,296964,324445,361060,394079,429526,454030,477359,506968,541423,581232,619849,657224,691461,721732,755445,807125,853369,906864,963473,1010193,1046910
Jamaica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/jamaica/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Japan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/japan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1890,2058,2209,2339,2339,2517,2684,6519,6777,7476,8029,8176,8286,9600,10024,10205,11231,12060,13026,13068,15655,14525,15354,18844,18963,20228,20340,24430,23521,25171,27005,28464,28760,28966,32497,34508,34510,39446,42882,44639,46172,55311,61498,64387,68771,74891,77381,77381
Jordan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/jordan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Kazakhstan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kazakhstan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Kenya,Africa,https://cdn.countryflags.com/thumbs/kenya/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Kiribati,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kiribati/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Kuwait,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kuwait/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Kyrgyzstan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kyrgyzstan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Laos,Asia & the Pacific,https://cdn.countryflags.com/thumbs/laos/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Latvia,Europe,https://cdn.countryflags.com/thumbs/latvia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",116,126,163,204,240,275,307,321,343,391,450,497,576,703,1019,1353,1704,2199,2954,3674,4373,5762,6573,7758,8645,9796,10613,11702,12748,13805,14307,14807,15810,16834,18198,19380,20680,21453,22575,24036,25458,26656,27796,28214,28776
Lebanon,Asia & the Pacific,https://cdn.countryflags.com/thumbs/lebanon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Lesotho,Africa,https://cdn.countryflags.com/thumbs/lesotho/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Liberia,Africa,https://cdn.countryflags.com/thumbs/liberia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Libya,Africa,https://cdn.countryflags.com/thumbs/libya/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Liechtenstein,Europe,https://cdn.countryflags.com/thumbs/liechtenstein/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Lithuania,Europe,https://cdn.countryflags.com/thumbs/lithuania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",76,"","","","",226,"","","","","","","","",366,"","",624,742,935,"","","",2086,"","",3471,"",5495,6900,8424,9891,"",12574,15623,18432,21376,23645,25599,27807,"",32809,36051,38472,"",41503
Luxembourg,Europe,https://cdn.countryflags.com/thumbs/luxembourg/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",18690,"",21463,22793,"",24291,"","",27521,28273,28965,29315,""
Macao,Asia & the Pacific,https://cdn.countryflags.com/thumbs/macao/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Macedonia,Europe,https://cdn.countryflags.com/thumbs/macedonia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Madagascar,Africa,https://cdn.countryflags.com/thumbs/madagascar/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Malawi,Africa,https://cdn.countryflags.com/thumbs/malawi/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Malaysia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/malaysia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","",653,"",656,757,797,"",880,968,"",1028,1054,1067,1091,1545,1548,"","",1739,"",1983,"","","","",2686,"",3573,3691,"",4899,"","",6842,"",8873,10143,"",11275,13110,13594,15820,16983,24168,29461,"",31206,32264,35802,37599,39458,40923,43539,47457,52485,58240,63367,67951,71897,77491,81730
Maldives,Asia & the Pacific,https://cdn.countryflags.com/thumbs/maldives/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Mali,Africa,https://cdn.countryflags.com/thumbs/mali/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Malta,Europe,https://cdn.countryflags.com/thumbs/malta/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Marshall Islands,Asia & the Pacific,https://cdn.countryflags.com/thumbs/marshall-islands/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Mauritania,Africa,https://cdn.countryflags.com/thumbs/mauritania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Mauritius,Africa,https://cdn.countryflags.com/thumbs/mauritius/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Mexico,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/mexico/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",65,74,80,117,148,169,193,208,225,241,275,313,370,445,535,661,765,905,1085,1314,1714,1983,2232,2566,2920,3550,4259,5189,5948,6729,7497,8451,9332,10290,11357,12825,14180,"",20390,21391,23593,"",26604,""
Moldova,Europe,https://cdn.countryflags.com/thumbs/moldova/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Monaco,Europe,https://cdn.countryflags.com/thumbs/monaco/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Mongolia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/mongolia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Montenegro,Europe,https://symondsflags.com/wp-content/uploads/2014/09/montenegro-flag.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Morocco,Africa,https://cdn.countryflags.com/thumbs/morocco/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Mozambique,Africa,https://cdn.countryflags.com/thumbs/mozambique/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Myanmar,Asia & the Pacific,https://cdn.countryflags.com/thumbs/myanmar/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Namibia,Africa,https://cdn.countryflags.com/thumbs/namibia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Nauru,Asia & the Pacific,https://cdn.countryflags.com/thumbs/nauru/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Nepal,Asia & the Pacific,https://cdn.countryflags.com/thumbs/nepal/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Netherlands,Europe,https://cdn.countryflags.com/thumbs/netherlands/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14555,"",18689,"","","",32420,"",37374,40196,44832,"","",56033,"",65771,69216,73610,77883,82734,88064,91707,94102,97970,101534,"","","","","",""
New Zealand,Oceania,https://cdn.countryflags.com/thumbs/new-zealand/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",312,401,484,515,550,584,726,1051,1710,2919,4210,5764,6940,8196,9246,10790,13382,15499,17566,19375,20293,21684,23777,26339,29785,33416,36509,40218,43126,47175,51165,55685,58746,61167,62827,""
Nicaragua,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/nicaragua/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Niger,Africa,https://cdn.countryflags.com/thumbs/niger/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Nigeria,Africa,https://cdn.countryflags.com/thumbs/nigeria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
North Korea,Asia & the Pacific,https://cdn.countryflags.com/thumbs/north-korea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Norway,Europe,https://cdn.countryflags.com/thumbs/norway/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",18062,21647,28522,34583,43735,49451,54393,61251,70608,73089,73892,78036,82584,85136,87191,90248,94265,98587,101986,105865,108709,111299,113896,118077,121034,123170,124279,126486,127305
Oman,Asia & the Pacific,https://cdn.countryflags.com/thumbs/oman/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Pakistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/pakistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",471,531,609,684,833,1125,1141,2163,3410,4001,5225,5444,5857,6123,6449,7835,13231,14336,14748,15683,15967,17324,30308,32930,34885,35875,39183,42159,44896,54706,57836,61801,65114,""
Palau,Asia & the Pacific,https://cdn.countryflags.com/thumbs/palau/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Palestine,Asia & the Pacific,http://www.think-israel.org/jan12pix/palestine.flag.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Panama,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/panama/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Papua New Guinea,Asia & the Pacific,https://cdn.countryflags.com/thumbs/papua-new-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Paraguay,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/paraguay/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Peru,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/peru/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",107,"",155,219,250,318,346,656,"","",1232,1822,2315,2797,3075,3841,4298,5185,6184,7013,7486,8040,9219,10065,10896,12669,13452,14463,15587,16518,17334,17841,19410,20414,21555,39599,48465,56681,65712,76506,""
Philippines,Asia & the Pacific,https://cdn.countryflags.com/thumbs/philippines/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",33783,"",""
Poland,Europe,https://cdn.countryflags.com/thumbs/poland/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",855,"",1154,1384,1630,2024,2234,2889,"",5493,"",7899,9515,11196,13072,15084,17607,20127,22898,26244,29564,34067,38674,42783,46607,51419,55801,61178,66938,72901,80757,85467,92215,99284,107597,118295,129560,138007,""
Portugal,Europe,https://cdn.countryflags.com/thumbs/portugal/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",105,123,156,194,245,311,378,530,715,1420,1873,1991,2534,3707,4716,5573,6882,8795,10627,12272,13691,19564,20262,21436,27816,32534,39361,47476,54500,61937,68985,75569,81408,87294,95288,98983,111357,119055,126339,132632,135920,""
Puerto Rico,Latin America & the Caribbean,https://lh3.googleusercontent.com/proxy/wD5ih2CImlJjdYDkUY5qsAkSbUjKXHhdhU3XEMv06Vfoxr_Ym7RN-yTKZQNuA2Xds-F8NGhcN9_UhFQBCWfpPa91xWx3TpVv,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Qatar,Asia & the Pacific,https://cdn.countryflags.com/thumbs/qatar/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Romania,Europe,https://cdn.countryflags.com/thumbs/romania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1921,2545,2929,3205,3708,4150,4670,4973,8284,8915,9967,11223,12624,14466,15998,17453,19663,21460,23103,24654,26609,28483,31657,36092,38623,40987,43578,47207,51802,55430,59272,62328,67204
Russia,Europe,https://cdn.countryflags.com/thumbs/russia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",185900,192800,223500,243400,263900,"","",406500,536000,575100,639600,697000,758400,795500,910200,1004700,1090000,1180000,1280000,1360000
Rwanda,Africa,https://cdn.countryflags.com/thumbs/rwanda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
St. Kitts & Nevis,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/saint-kitts-and-nevis/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
St. Lucia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/saint-lucia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
St. Vincent & the Grenadines,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/saint-vincent-and-the-grenadines/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Samoa,Asia & the Pacific,https://cdn.countryflags.com/thumbs/samoa/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
San Marino,Europe,https://cdn.countryflags.com/thumbs/san-marino/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Sao Tome & Principe,Africa,https://cdn.countryflags.com/thumbs/sao-tome-and-principe/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Saudi Arabia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/saudi-arabia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Senegal,Africa,https://cdn.countryflags.com/thumbs/senegal/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,1,1,3,5,5,7,9,11,17,18,26,32,43,46,48,57,101,128,150,206,237,322,382,441,583,713,857,955,1106,1193,1290,1485,1612,1765,1942,2034,2129,2239,2347,2546,2741,2914,"",""
Serbia,Europe,https://cdn2.iconfinder.com/data/icons/world-flag-icons/256/Flag_of_Serbia.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",16,20,30,32,36,45,46,50,"",56,75,91,94,108,130,160,214,256,268,301,335,421,486,545,624,761,822,916,1161,1456,1715,2086,2462,3084,3561,4371,5008,5756,6401,7360,8552,9626,10761,12347,14240,16399,18312,20958
Seychelles,Africa,https://cdn.countryflags.com/thumbs/seychelles/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Sierra Leone,Africa,https://cdn.countryflags.com/thumbs/sierra-leone/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Singapore,Asia & the Pacific,https://cdn.countryflags.com/thumbs/singapore/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",47486,"","","","","",""
Slovakia,Europe,https://cdn.countryflags.com/thumbs/slovakia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1545,1913,1913,1991,2439,2707,3247,3489,3518,"","",5664,5664,7131,"","","","",11742,13631,15155,"","","",21371,23672,"",27426,28750,""
Slovenia,Europe,https://cdn.countryflags.com/thumbs/slovenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38,59,100,143,178,194,211,265,313,364,467,745,922,1160,1527,2069,2818,3863,5060,5976,6566,7437,8558,9584,10768,12010,12882,13613,14870,16113,17294,18369,19756,20753,21349,22474,23762,24857,25921,27109,27764,28253,29455,30669,31813,33047,34279,34851,35405,""
Solomon Islands,Asia & the Pacific,https://cdn.countryflags.com/thumbs/solomon-islands/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Somalia,Africa,https://cdn.countryflags.com/thumbs/somalia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
South Africa,Africa,https://cdn.countryflags.com/thumbs/south-africa/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","",61,"",67,71,"","","","",95,106,"","","",116,"",121,"","","","",160,164,"","",200,241,"","","",645,848,924,1017,1476,2405,2911,3070,4832,6438,7425,9315,12815,15529,"",20471,28537,31963,35593,38409,41072,44292,47965,50361,53937,56873,58098,"",63776,68874,73028,75053,80085,""
South Korea,Asia & the Pacific,https://cdn.countryflags.com/thumbs/south-korea/flag-button-round-250.png,11,16,"",25,"",48,57,187,"",244,"",371,429,429,607,714,885,1130,1701,2340,2776,3629,5074,5797,6854,7519,7919,8171,9265,10411,12161,14816,19621,22633,28615,36716,46127,57990,70940,85693,96985,109591,125851,136707,146541,164740,178189,188518,196618,210144,222395,234998,248647,261335,268212,274504,286716,295647,307024,316664,327509,331780,338036,348582,357896,364942,376961,387925,394141,395194,410564,421547,431743,443273,455032,461233,466804,477304,486003,494711,503051,510479,514621,518743
South Sudan,Africa,https://www.worldatlas.com/r/w728-h425-c728x425/upload/b1/9f/c9/ss-flag.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Spain,Europe,https://cdn.countryflags.com/thumbs/spain/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Sri Lanka,Asia & the Pacific,https://cdn.countryflags.com/thumbs/sri-lanka/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Sudan,Africa,https://cdn.countryflags.com/thumbs/sudan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Suriname,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/suriname/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Swaziland,Africa,https://cdn.countryflags.com/thumbs/swaziland/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
