country,category,url,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,Apr 28,Apr 29,Apr 30
Guinea,Africa,https://cdn.countryflags.com/thumbs/guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guinea-Bissau,Africa,https://cdn.countryflags.com/thumbs/guinea-bissau/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guyana,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guyana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Haiti,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/haiti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Honduras,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/honduras/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Hong Kong,Asia & the Pacific,https://pakhockey.org/wp-content/uploads/2017/10/1e54cad04d668d5ef5c9356a15cbd328.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",96034,"","","","","","","","","","","","","","","","","","","","","","","","","","",154989,"","",""
Hungary,Europe,https://cdn.countryflags.com/thumbs/hungary/flag-button-round-250.png,"","","",230,"",269,319,362,"",531,609,730,858,1014,1236,1470,1587,1803,2322,3007,3477,4443,5515,6113,6817,8005,9275,10303,12148,13301,14146,15208,16401,17769,19424,21250,22282,23746,25748,27826,29948,31961,33532,34819,35825,37326,38489,41590,43901,46353,48057,50052,52702,55390,58251,60801,63505,65625,67172,70300,72951
Iceland,Europe,https://cdn.countryflags.com/thumbs/iceland/flag-button-round-250.png,90,138,183,264,326,383,441,478,576,745,894,1147,1504,1827,2902,4609,6009,7837,9148,9727,10077,10260,10719,11686,12574,13572,14594,15443,16443,17863,19475,20889,22154,23599,25353,27839,28951,30906,32582,34084,34594,35212,35447,36298,37345,38163,39495,41050,42721,43102,43790,44427,45052,45245,45930,46311,46336,47024,47532,48372,49094
India,Asia & the Pacific,https://cdn.countryflags.com/thumbs/india/flag-button-round-250.png,"","","","","","","","","","","","",6500,"","","","",13125,13316,14376,15701,16999,20707,20864,25144,"",27688,"","","","","",47951,69245,79950,89534,101068,114015,127919,144910,161330,179374,195748,217554,244893,274599,302956,335123,372123,401586,"",462621,"",500542,541789,579957,625309,665819,716733,770764,830201
Indonesia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/indonesia/flag-button-round-250.png,"","","","","","","","","","","","","","","",1230,1255,"",1651,1898,"",2409,2483,2863,"","",4489,5775,6266,6534,6663,6777,7193,7621,7986,"",11460,13433,14571,16848,19452,19782,27075,27391,31628,33001,34975,37134,39422,42219,43749,46173,47361,48647,50563,52541,56974,59409,62544,67784,72351
Iran,Asia & the Pacific,https://cdn.countryflags.com/thumbs/iran/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",189790,"","",220975,231393,242568,251703,263388,"",287359,299204,310340,319879,330137,341662,353012,365723,"",389507,399927,410075,421313,432329,"",453386,463295
Iraq,Asia & the Pacific,https://cdn.countryflags.com/thumbs/iraq/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ireland,Europe,https://cdn.countryflags.com/thumbs/ireland/flag-button-round-250.png,"","","","","","","","",1784,"","","","","","","",6636,"","","","","",17992,"","","","","","","",30213,"","","","","","",42484,"","","","","","",90646,"","","","","","",111584,"","","","","","",153054,"",""
Israel,Asia & the Pacific,https://cdn.countryflags.com/thumbs/israel/flag-button-round-250.png,1412,1585,1808,1931,2108,2410,2797,3272,3860,4378,4889,5611,6396,7041,8183,9461,11596,14252,16755,19398,21372,24731,28596,33663,38903,44458,49472,54433,60922,66603,74454,82667,91749,101652,108299,117578,124828,131420,136993,142525,149275,155573,165116,175538,188202,197651,210433,221214,231827,242081,255423,266845,278747,292608,304407,325107,333500,344381,354857,365961,373882
Italy,Europe,https://cdn.countryflags.com/thumbs/italy/flag-button-round-250.png,21127,23345,25856,29837,32362,36359,42062,49937,53826,60761,73154,86011,97488,109170,124899,137962,148657,165541,182777,206886,233222,258402,275468,296964,324445,361060,394079,429526,454030,477359,506968,541423,581232,619849,657224,691461,721732,755445,807125,853369,906864,963473,1010193,1046910,1073689,1117404,1178403,1244108,1305833,1356541,1398024,1450150,1513251,1579909,1642356,1707743,1757659,1789662,1846934,1910761,1979217
Jamaica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/jamaica/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Japan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/japan/flag-button-round-250.png,"",2517,2684,6519,6777,7476,8029,8176,8286,9600,10024,10205,11231,12060,13026,13068,15655,14525,15354,18844,18963,20228,20340,24430,23521,25171,27005,28464,28760,28966,32497,34508,34510,39446,42882,44639,46172,55311,61498,64387,68771,74891,77381,78702,89551,94236,100703,106372,111325,112816,116725,124550,130587,135983,141600,147454,149074,150692,160546,164255,165609
Jordan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/jordan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
