country,category,url,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,3560,4570,2291,3069,4016,4767,6174,7190,10120,11300,9000,13000,12000,15000,13000,13500,15000,18000,17000,21000,22900,21000,23500,23000,22700,19000,22000,25300,25600,35000,11200,11800,8906,9640,16922,29285,16777,10503,12708,7413,14228,6625,9164,14024,17144,17000,17830,16120,17500,30000,38000,37000,38000,17500,"","","",""
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,1363194,1500000,1257523,1047703,1402600,682229,644607,995000,871050,869200,924700,575338,590984,628172,431900,378273,254876,184000,270976,283751,266888,151400,187567,139380,93810,90630,91780,62100,50373,48500,46000,40957,65000,50000,57100,39200,35700,36000,42156,42362,42000,50000,60000,85000,90000,105000,52000,50000,58840,47500,48000,49200,49800,52000,"","","",""
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,1675000,1917200,2074400,1953300,1827100,2191700,2817100,1951300,1791600,1835975,2178317,1998649,2256700,2718321,2210306,2819747,2331870,2026665,2634705,2348998,2179881,2518070,2471916,1880833,1574083,1857060,2601780,2062947,2031751,1403630,1450027,1435007,1447084,1817290,1644300,1268100,1350030,1267338,1588770,1253700,1583500,1269500,1322500,1546400,1522200,1539600,1504600,1467642,1213547,1608826,1531791,1166025,1498380,1498380,"","","",""
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",25760,27350,23580,10400,7800,4890,2380,5640,4220,6970,4630,2716,6793,7305,4374,4250,3807,4713,5865,6192,5808,6422,6174,"","","",""
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,153481,189732,135894,170639,176900,155132,188723,201074,235372,286900,254965,290239,279943,294700,361177,356245,383058,339577,335092,414237,374273,402700,340100,396244,451211,389200,401060,407772,499933,444584,394289,458501,461836,587377,502796,673445,617379,741547,851143,806300,1016300,1150900,1085985,1471228,1433827,1429788,961972,1244780,1182624,1142297,1117836,1225919,1231012,1186343,"","","",""
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,119500,90600,164400,284017,138737,145359,259438,247724,226528,309613,181279,259562,240431,166492,270447,290104,259402,336628,277301,308642,208517,490565,369793,251892,112566,222985,218362,350246,258086,316629,309326,258822,186548,264664,222897,211033,180193,270317,280338,233841,253058,259908,252989,273456,226402,225630,262803,299372,235188,173745,281476,215475,239195,199869,"","","",""
Azerbaijan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/azerbaijan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",67000,31000,13000,7080,2900,34700,14660,4704,7736,7576,5719,3790,3092,4378,5195,6368,8169,6949,9423,7158,7937,7711,9512,"","","",""
Bahamas,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bahamas/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bahrain,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bahrain/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bangladesh,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bangladesh/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Barbados,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/barbados/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Belarus,Europe,https://cdn.countryflags.com/thumbs/belarus/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5988,6174,6726,10210,18660,20040,18980,7000,7794,9894,14850,11730,15990,15720,12390,20020,25730,20990,25110,26790,27160,28150,29980,"","","",""
Belgium,Europe,https://cdn.countryflags.com/thumbs/belgium/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2000,2000,2000,2000,2000,4000,3000,3000,3000,3000,3000,4700,2864,2900,2900,"","","",""
Belize,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/belize/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Benin,Africa,https://cdn.countryflags.com/thumbs/benin/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bhutan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bhutan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,640,640,640,640,640,640,640,640,640,640,640,960,1152,1280,1408,1600,1600,1984,1984,1984,1984,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,4434,7120,7223,7328,7350,7747,6979,7423,7419,7977,8347,9422,"","","",""
Bosnia & H.,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14000,7900,3500,3400,4697,5300,6944,5800,4769,5284,4190,9125,6045,5042,2695,4558,4591,3655,4504,3354,3061,4163,7524,"","","",""
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,158000,139000,118000,99905,192800,126200,196000,198800,158000,190000,190000,230000,236200,203600,203600,219500,264100,285000,285000,199602,288008,329715,188193,243301,366342,225370,218143,348583,273542,310832,305548,358378,268923,301977,312832,232017,274320,218189,319029,300000,296800,312200,262000,392500,319900,237200,350200,368300,272000,245900,346000,296700,273100,273100,"","","",""
Brunei,Asia & the Pacific,https://cdn.countryflags.com/thumbs/brunei/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,208000,352000,384000,325100,396300,414300,351000,497100,491300,408500,408700,378800,520500,444200,360000,537200,370800,452400,468100,409200,486400,574000,454900,515500,385900,389800,359200,339900,265686,248046,254989,221000,168300,188500,259300,237400,212800,195544,171451,183372,123015,114509,143835,194804,169446,173595,136953,230046,164525,150083,122687,133700,130500,130500,"","","",""
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cambodia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cambodia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cameroon,Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-button-round-250.png,21827,25108,25633,26597,24131,28957,33657,34292,36196,41912,55248,41909,43183,38102,46959,49305,37926,52003,43918,45493,45402,45871,52822,60620,48209,57099,54761,54229,28980,33229,37786,33747,24948,30093,35483,33285,34447,39592,51170,42791,44534,46886,35889,52220,29134,52668,50155,54320,45388,50743,61418,62041,69720,54663,"","","",""
Cape Verde,Africa,https://cdn.countryflags.com/thumbs/cape-verde/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,485300,553300,460600,483700,364800,473600,488800,518200,402300,400500,525100,611200,569000,499700,464900,514000,579000,561000,592500,586000,594300,610000,490000,385000,438000,335000,390000,422700,390000,397800,289500,316500,380600,359800,316700,382369,454918,547477,480650,667403,565180,562323,668222,630073,788551,802441,791794,868297,1000900,884413,1046381,1255371,1282095,1214000,"","","",""
