country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,8.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,2.0,1.0,1.0,"",5.0,3.0,4.0,6.0,10.0,10.0,18.0,14.0,81.0,45.0,37.0,104.0,92.0,103.0,95.0,114.0,176.0,220.0,164.0,304.0,299.0,230.0,310.0,289.0,293.0,373.0,333.0,424.0,310.0,344.0,301.0,430.0,426.0,529.0,426.0,286.0,312.0,392.0,356.0,534.0,445.0,478.0,358.0,419.0
China,Asia & the Pacific,https://cdn.countryflags.com/thumbs/china/flag-button-round-250.png,151.0,140.0,97.0,259.0,441.0,665.0,787.0,1753.0,1466.0,1740.0,1980.0,2095.0,2590.0,2812.0,3237.0,3872.0,3727.0,3160.0,3418.0,2607.0,2974.0,2490.0,2028.0,15141.0,4156.0,2538.0,2007.0,2052.0,1890.0,1750.0,394.0,891.0,826.0,647.0,218.0,515.0,410.0,439.0,329.0,428.0,574.0,205.0,127.0,119.0,117.0,170.0,101.0,46.0,45.0,20.0,29.0,24.0,22.0,19.0,22.0,25.0,43.0,23.0,44.0,99.0,52.0,65.0,138.0,69.0,78.0,102.0,94.0,119.0,113.0,98.0,84.0,54.0,100.0,70.0,62.0,48.0,67.0,56.0,86.0,86.0,55.0,79.0,93.0,112.0,94.0,49.0,50.0,352.0,31.0,18.0,14.0,32.0
Colombia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/colombia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,"","",2.0,"",6.0,"",7.0,18.0,11.0,12.0,8.0,37.0,26.0,30.0,52.0,25.0,71.0,72.0,92.0,21.0,48.0,69.0,94.0,96.0,108.0,159.0,96.0,106.0,139.0,79.0,94.0,201.0,274.0,169.0,250.0,236.0,67.0,76.0,127.0,126.0,128.0,206.0,182.0,171.0,185.0
Comoros,Africa,https://cdn.countryflags.com/thumbs/comoros/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Congo,Africa,https://cdn.countryflags.com/thumbs/congo-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,19.0,0.0,4.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,0.0,4.0,43.0,0.0,26.0,0.0,17.0,0.0
Costa Rica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/costa-rica/flag-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,"",4.0,4.0,4.0,9.0,1.0,3.0,1.0,8.0,6.0,9.0,19.0,18.0,26.0,4.0,17.0,24.0,19.0,24.0,30.0,32.0,32.0,19.0,16.0,17.0,28.0,21.0,20.0,19.0,19.0,13.0,16.0,19.0,37.0,19.0,19.0,18.0,17.0,6.0,8.0,16.0,7.0,6.0,5.0,2.0
Cote d'Ivoire,Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,"","",3.0,0.0,1.0,0.0,1.0,3.0,5.0,3.0,8.0,0.0,48.0,7.0,16.0,5.0,39.0,25.0,3.0,0.0,22.0,4.0,24.0,27.0,16.0,62.0,26.0,35.0,60.0,36.0,53.0,41.0,52.0,0.0,28.0,34.0,54.0,59.0,46.0,32.0
Croatia,Europe,https://cdn.countryflags.com/thumbs/croatia/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,"",1.0,1.0,1.0,"","",1.0,3.0,9.0,6.0,6.0,11.0,8.0,13.0,12.0,23.0,22.0,80.0,29.0,71.0,76.0,36.0,77.0,91.0,71.0,56.0,77.0,77.0,96.0,48.0,68.0,47.0,56.0,40.0,60.0,61.0,64.0,88.0,39.0,66.0,50.0,54.0,37.0,50.0,23.0,18.0,39.0,10.0
Cuba,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/cuba/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.0,"",1.0,0.0,"","",3.0,4.0,5.0,5.0,4.0,10.0,5.0,8.0,9.0,10.0,13.0,39.0,20.0,31.0,16.0,26.0,21.0,36.0,19.0,32.0,30.0,46.0,61.0,58.0,49.0,56.0,49.0,57.0,40.0,48.0,48.0,61.0,63.0,49.0,52.0
Cyprus,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cyprus/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,"",4.0,"",8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,36.0,40.0,30.0,20.0,19.0,29.0,32.0,38.0,31.0,21.0,17.0,29.0,33.0,20.0,20.0,0.0,26.0,6.0,5.0
Czech Republic,Europe,https://cdn.countryflags.com/thumbs/czech-republic/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,4.0,7.0,7.0,6.0,8.0,23.0,31.0,22.0,34.0,64.0,84.0,46.0,90.0,88.0,172.0,210.0,91.0,170.0,71.0,158.0,260.0,408.0,217.0,384.0,166.0,173.0,306.0,281.0,269.0,332.0,282.0,115.0,235.0,195.0,295.0,257.0,163.0,170.0,89.0,68.0,82.0,162.0,130.0,116.0,105.0,133.0,127.0
DR Congo,Africa,https://cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,"","",1.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,9.0,3.0,0.0,19.0,0.0,9.0,4.0,0.0,23.0,17.0,0.0,25.0,0.0,11.0,20.0,0.0,7.0,19.0,3.0,32.0,8.0,11.0,0.0,1.0,19.0,13.0,20.0,20.0,20.0,5.0,18.0
Denmark,Europe,https://cdn.countryflags.com/thumbs/denmark/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,10.0,3.0,8.0,7.0,75.0,151.0,252.0,160.0,128.0,23.0,48.0,57.0,92.0,91.0,36.0,104.0,71.0,69.0,65.0,131.0,133.0,153.0,169.0,155.0,194.0,182.0,283.0,247.0,279.0,371.0,320.0,292.0,312.0,390.0,331.0,233.0,184.0,177.0,178.0,144.0,193.0,170.0,198.0,194.0,169.0,142.0,131.0
Djibouti,Africa,https://cdn.countryflags.com/thumbs/djibouti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,1.0,2.0,4.0,7.0,5.0,3.0,7.0,0.0,10.0,8.0,31.0,31.0,14.0,5.0,10.0,37.0,27.0,84.0,65.0,72.0,156.0,141.0,0.0,114.0,0.0
Dominica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominica/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominican-republic/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"","","","",1.0,"","",3.0,"","","",6.0,0.0,0.0,0.0,0.0,10.0,0.0,13.0,78.0,90.0,43.0,67.0,80.0,96.0,93.0,138.0,140.0,42.0,208.0,175.0,96.0,108.0,90.0,167.0,83.0,128.0,155.0,238.0,271.0,139.0,208.0,200.0,119.0,328.0,141.0,371.0,209.0,345.0,284.0
Ecuador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/ecuador/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,"",3.0,3.0,"","",1.0,1.0,2.0,"","",6.0,5.0,9.0,21.0,53.0,57.0,31.0,227.0,106.0,257.0,192.0,101.0,129.0,192.0,224.0,208.0,55.0,76.0,336.0,456.0,405.0,205.0,97.0,181.0,101.0,248.0,455.0,515.0,2196.0,96.0,209.0,63.0,74.0,255.0,367.0,225.0,572.0,446.0,660.0
Egypt,Africa,https://cdn.countryflags.com/thumbs/egypt/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"","","",1.0,12.0,"",34.0,6.0,4.0,1.0,20.0,13.0,0.0,17.0,16.0,40.0,30.0,14.0,46.0,29.0,9.0,33.0,39.0,76.0,14.0,39.0,41.0,40.0,33.0,47.0,54.0,69.0,0.0,206.0,85.0,3.0,249.0,238.0,139.0,95.0,145.0,126.0,125.0,160.0,155.0,168.0,171.0,188.0,112.0,189.0
El Salvador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/el-salvador/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,0.0,2.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,6.0,11.0,2.0,0.0,9.0,5.0,10.0,6.0,7.0,9.0,0.0,25.0,14.0,1.0,0.0,7.0,24.0,10.0,0.0,5.0,13.0,13.0,11.0,17.0
Equatorial Guinea,Africa,https://cdn.countryflags.com/thumbs/equatorial-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,20.0,10.0,0.0,28.0,0.0,0.0,0.0
Eritrea,Africa,https://cdn.countryflags.com/thumbs/eritrea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0,0.0,3.0,3.0,4.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
Estonia,Europe,https://cdn.countryflags.com/thumbs/estonia/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"",1.0,"",3.0,5.0,"","","",3.0,3.0,11.0,52.0,36.0,56.0,34.0,20.0,33.0,9.0,16.0,23.0,20.0,26.0,17.0,35.0,134.0,37.0,65.0,39.0,36.0,30.0,34.0,79.0,103.0,57.0,79.0,11.0,41.0,36.0,22.0,51.0,46.0,5.0,23.0,41.0,29.0,32.0,25.0,53.0,16.0,7.0
Ethiopia,Africa,https://cdn.countryflags.com/thumbs/ethiopia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,7.0,2.0,4.0,0.0,6.0,3.0,5.0,1.0,8.0,3.0,1.0,9.0,4.0,2.0,3.0,8.0,3.0,7.0,4.0,9.0,3.0,3.0
Fiji,Asia & the Pacific,https://cdn.countryflags.com/thumbs/fiji/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Finland,Europe,https://cdn.countryflags.com/thumbs/finland/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,"",1.0,"",5.0,7.0,"",11.0,10.0,"",19.0,96.0,28.0,27.0,57.0,5.0,47.0,50.0,31.0,50.0,71.0,105.0,74.0,92.0,88.0,78.0,67.0,193.0,0.0,95.0,71.0,62.0,72.0,97.0,267.0,45.0,249.0,132.0,179.0,118.0,164.0,136.0,69.0,90.0,97.0,76.0,132.0,120.0,192.0,102.0,85.0
France,Europe,https://cdn.countryflags.com/thumbs/france/flag-button-round-250.png,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,21.0,19.0,43.0,30.0,48.0,34.0,73.0,138.0,190.0,103.0,410.0,286.0,372.0,497.0,595.0,785.0,838.0,924.0,1210.0,1097.0,1404.0,1861.0,1617.0,1847.0,1559.0,3838.0,2446.0,2931.0,3922.0,3809.0,4611.0,2599.0,4376.0,7578.0,4861.0,2116.0,5233.0,4267.0,1873.0,3912.0,3777.0,3881.0,4286.0,4342.0,3114.0,1613.0,2673.0,5497.0,2633.0,2641.0,405.0,2569.0,785.0,2051.0
Gabon,Africa,https://cdn.countryflags.com/thumbs/gabon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,"",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,3.0,0.0,0.0,0.0,9.0,3.0,11.0,2.0,3.0,8.0,0.0,18.0,12.0,8.0,13.0,1.0,0.0,11.0
Gambia,Africa,https://cdn.countryflags.com/thumbs/gambia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Georgia,Europe,https://cdn.countryflags.com/thumbs/georgia/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,"","",0.0,6.0,"",3.0,1.0,2.0,8.0,1.0,1.0,5.0,0.0,0.0,3.0,1.0,0.0,6.0,3.0,6.0,5.0,7.0,9.0,3.0,6.0,2.0,4.0,5.0,8.0,12.0,5.0,6.0,27.0,9.0,17.0,14.0,8.0,15.0,7.0,16.0,8.0,15.0,15.0,28.0,6.0,42.0,22.0,18.0,6.0,8.0
Germany,Europe,https://cdn.countryflags.com/thumbs/germany/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,26.0,10.0,54.0,18.0,28.0,39.0,66.0,138.0,284.0,163.0,55.0,237.0,157.0,271.0,802.0,693.0,733.0,1043.0,1174.0,1144.0,1042.0,5940.0,4049.0,3276.0,3311.0,4438.0,2342.0,4954.0,5780.0,6294.0,3965.0,4751.0,4615.0,5453.0,6156.0,6174.0,6082.0,5936.0,3677.0,3834.0,4003.0,4974.0,5323.0,4133.0,2821.0,2537.0,2082.0,2486.0,2866.0,3380.0,3609.0,2458.0,1775.0,1785.0
Ghana,Africa,https://cdn.countryflags.com/thumbs/ghana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,"",0.0,0.0,4.0,0.0,1.0,4.0,5.0,5.0,3.0,3.0,26.0,15.0,64.0,5.0,4.0,11.0,0.0,0.0,43.0,9.0,1.0,9.0,0.0,73.0,0.0,26.0,65.0,0.0,30.0,158.0,0.0,70.0,5.0,0.0,0.0,193.0,208.0,0.0
Gibraltar,Europe,https://image.flaticon.com/icons/svg/197/197451.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10.0,0.0,0.0,5.0,0.0,0.0,11.0,9.0,20.0,1.0,9.0,4.0,0.0,0.0,19.0,7.0,3.0,5.0,6.0,4.0,7.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Greece,Europe,https://cdn.countryflags.com/thumbs/greece/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,"","",3.0,22.0,13.0,21.0,7.0,11.0,6.0,9.0,34.0,57.0,38.0,103.0,21.0,35.0,31.0,46.0,31.0,35.0,94.0,71.0,48.0,78.0,71.0,74.0,95.0,95.0,56.0,102.0,61.0,139.0,99.0,60.0,62.0,20.0,77.0,52.0,71.0,56.0,70.0,33.0,31.0,25.0,22.0,15.0,0.0,0.0,28.0,10.0
Greenland,North America,https://image.flaticon.com/icons/svg/197/197453.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grenada,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/grenada/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guatemala,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guatemala/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,0.0,5.0,0.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,7.0,2.0,2.0,0.0,2.0,8.0,1.0,3.0,11.0,9.0,4.0,6.0,7.0,39.0,11.0,16.0,3.0,11.0,13.0,16.0,18.0,21.0,22.0,32.0,5.0
Guinea,Africa,https://cdn.countryflags.com/thumbs/guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,0.0,"",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,8.0,0.0,14.0,22.0,0.0,59.0,10.0,7.0,16.0,20.0,30.0,18.0,38.0,0.0,69.0,44.0,41.0,34.0,39.0,0.0,102.0,43.0
Guinea-Bissau,Africa,https://cdn.countryflags.com/thumbs/guinea-bissau/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,6.0,3.0,0.0,15.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0
Guyana,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guyana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,"","",3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,7.0,0.0,4.0,1.0,5.0,2.0,2.0,4.0,0.0,3.0,5.0,0.0,2.0,1.0,7.0,2.0,6.0,0.0,2.0,1.0
Haiti,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/haiti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,1.0,2.0,3.0,1.0,2.0,0.0,7.0,0.0,1.0,2.0,1.0,0.0,3.0,10.0
Honduras,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/honduras/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,"",1.0,"",3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,7.0,7.0,31.0,39.0,10.0,1.0,4.0,10.0,12.0,7.0,16.0,15.0,15.0,5.0,17.0
Hong Kong,Asia & the Pacific,https://pakhockey.org/wp-content/uploads/2017/10/1e54cad04d668d5ef5c9356a15cbd328.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Hungary,Europe,https://cdn.countryflags.com/thumbs/hungary/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,"",2.0,3.0,1.0,1.0,3.0,1.0,3.0,9.0,6.0,8.0,11.0,0.0,23.0,12.0,18.0,28.0,36.0,20.0,39.0,35.0,39.0,43.0,65.0,39.0,45.0,33.0,60.0,38.0,55.0,55.0,11.0,73.0,78.0,85.0,210.0,120.0,100.0,48.0,54.0,67.0,73.0,111.0,71.0,82.0,68.0,114.0
