country,category,url,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,45000,45000,45000,45000,51000,51000,57000,57000,60000,55000,50000,35000,58000,51600,60000,68100,64000,64000,64000,70000,70000,63000,62000,60000,58000,60000,60000,62000,60000,55000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,60000,60000,38000,70000,74000,62960,123200,92400,92460,77500,89880,75082,46454,17364,33725,25421
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,642437,694000,648000,647000,679290,712512,722282,684648,683078,763989,880128,850000,967433,550000,470000,530000,500000,450000,420000,300000,320000,250000,250000,240000,270000,320000,320000,320000,270000,270000,335000,270000,220000,240000,330000,290000,310000,340000,340000,350000,360000,360000,360000,345000,345000,450000,500000,520000,500000,500000,510000,520000,510000,525945,550531,553592,563270,572948
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,183820,197705,259448,259448,135000,80000,50000,12000,40000,41000,134100,0,0,"","","","","","",3215,2801,5365,"","","","","","","",0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","",""
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,9650000,9778000,11950000,11827000,13950000,11960000,8576000,9500000,10680000,9700000,10260000,12870000,16870000,16536000,15600000,16100000,16000000,13600000,14120000,17200000,15500000,15046000,15070000,15440000,14105000,14465000,14479000,13939000,13700000,15700000,18200000,16800000,14250000,15200000,17700000,17600000,19450000,19400000,16700000,18400000,18720000,19250000,22050000,20900000,24400000,26450000,23960000,26960000,26960000,18889878,19806890,19766388,23700000,21234460,17872791,18436082,19076893,19039561
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,9730296,12940301,12312569,15312357,14382227,16952688,17025232,18708304,15784354,17644816,19390512,18928304,19278000,20417808,21959008,23343552,23493152,21457008,21151072,23975648,25093808,24817104,24191168,25450304,24401600,24742000,24831680,27145968,26940336,24369936,21366000,20641000,27959000,31312000,34943000,37436000,39938000,41064000,39699000,38164688,28116957,31424352,36994995,36993454,37822192,37128107,36396997,32621113,31456858,31234824,25181814,25957093,27136082,30517650,32379153,34403004,36561497,33506830
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
