,team_url,category,1888/89,1888/89,1889/90,1890/91,1891/92,1892/93,1893/94,1894/95,1895/96,1896/97,1897/98,1898/99,1899/00,1900/01,1901/02,1902/03,1903/04,1904/05,1905/06,1906/07,1907/08,1908/09,1909/10,1910/11,1911/12,1912/13,1913/14,1914/15,1919/20,1920/21,1921/22,1922/23,1923/24,1924/25,1925/26,1926/27,1927/28,1928/29,1929/30,1930/31,1931/32,1932/33,1933/34,1934/35,1935/36,1936/37,1937/38,1938/39,1946/47,1947/48,1948/49,1949/50,1950/51,1951/52,1952/53,1953/54,1954/55,1955/56,1956/57,1957/58,1958/59,1959/60,1960/61,1961/62,1962/63,1963/64,1964/65,1965/66,1966/67,1967/68,1968/69,1969/70,1970/71,1971/72,1972/73,1973/74,1974/75,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1981/82,1982/83,1983/84,1984/85,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19
Leicester City,https://s.hs-data.com/bilder/wappen/mittel/549.gif,blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,33,33,33,33,33,33,33,33,33,33,33,85,148,214,286,346,400,452,498,551,596,596,596,649,687,687,687,687,687,687,687,687,687,734,734,734,781,824,876,939,996,1068,1127,1173,1243,1305,1356,1395,1395,1395,1447,1494,1549,1597,1655,1709,1736,1736,1736,1781,1781,1781,1832,1883,1925,1967,1967,1967,1967,1967,1967,1967,1967,1996,1996,2043,2096,2145,2200,2248,2276,2276,2309,2309,2309,2309,2309,2309,2309,2309,2309,2309,2309,2350,2431,2475,2522,2574
Leyton Orient,https://s.hs-data.com/bilder/wappen/mittel/3121.gif,green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
Liverpool FC,https://s.hs-data.com/bilder/wappen/mittel/550.gif,red,0,0,0,0,0,0,0,29,29,74,113,175,222,286,328,383,418,418,492,538,592,643,712,764,810,863,912,963,1030,1099,1178,1264,1320,1390,1448,1509,1561,1624,1681,1738,1801,1854,1906,1970,2021,2068,2124,2180,2262,2320,2373,2438,2497,2552,2602,2639,2639,2639,2639,2639,2639,2639,2639,2639,2700,2783,2844,2931,3001,3078,3164,3235,3303,3384,3469,3548,3619,3702,3782,3863,3961,4046,4114,4201,4283,4363,4440,4528,4605,4695,4771,4850,4926,4990,5049,5109,5183,5254,5322,5387,5441,5508,5577,5657,5721,5781,5839,5921,5989,6065,6151,6214,6272,6324,6385,6469,6531,6591,6667,6742,6839
Luton Town,https://s.hs-data.com/bilder/wappen/mittel/3123.gif,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,110,173,222,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,305,305,305,305,305,305,305,305,354,405,459,525,591,644,685,728,765,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807
Manchester City,https://s.hs-data.com/bilder/wappen/mittel/750.gif,blue_light,0,0,0,0,0,0,0,0,0,0,0,0,47,92,131,131,194,260,322,364,423,472,472,512,560,622,672,730,793,871,934,996,1053,1113,1160,1160,1160,1223,1289,1353,1404,1457,1519,1587,1646,1725,1775,1775,1775,1832,1892,1929,1929,1981,2030,2081,2145,2209,2257,2328,2370,2424,2474,2532,2573,2573,2573,2573,2624,2708,2763,2822,2875,2955,3011,3065,3129,3188,3265,3337,3389,3438,3491,3549,3596,3596,3596,3641,3680,3680,3680,3728,3790,3860,3917,3962,4011,4049,4049,4049,4049,4049,4083,4083,4134,4175,4227,4270,4312,4367,4417,4484,4555,4644,4722,4808,4887,4953,5031,5131,5229
Manchester United,https://s.hs-data.com/bilder/wappen/mittel/543.gif,red,0,0,0,0,0,24,44,44,44,44,44,44,44,44,44,44,44,44,44,103,178,230,294,368,418,483,534,573,626,681,717,717,717,717,780,833,888,943,996,1025,1025,1025,1025,1025,1025,1067,1067,1116,1194,1265,1339,1407,1487,1567,1631,1697,1764,1849,1941,2000,2079,2143,2206,2260,2306,2382,2469,2538,2622,2702,2759,2818,2877,2944,2993,3035,3035,3114,3179,3237,3297,3379,3442,3520,3590,3664,3740,3816,3872,3953,4004,4052,4112,4190,4274,4366,4454,4536,4611,4688,4767,4858,4938,5015,5098,5173,5250,5333,5422,5509,5599,5684,5764,5853,5942,6006,6076,6142,6211,6292,6358
Middlesbrough FC,https://s.hs-data.com/bilder/wappen/mittel/548.gif,red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,85,120,161,212,270,321,363,406,462,505,567,618,673,736,798,847,876,876,876,876,924,924,978,1043,1096,1147,1202,1246,1301,1366,1431,1500,1559,1610,1655,1722,1787,1838,1891,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931,1997,2052,2107,2158,2213,2273,2326,2365,2365,2365,2365,2365,2365,2365,2404,2404,2404,2404,2448,2448,2448,2491,2533,2533,2584,2636,2678,2723,2772,2820,2875,2920,2966,3008,3040,3040,3040,3040,3040,3040,3040,3040,3068,3068,3068
Millwall FC,https://s.hs-data.com/bilder/wappen/mittel/2250.gif,green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
Newcastle United,https://s.hs-data.com/bilder/wappen/mittel/546.gif,white,0,0,0,0,0,0,0,0,0,0,0,41,90,142,193,239,299,370,431,504,561,638,702,757,819,866,916,959,1019,1089,1153,1219,1280,1344,1402,1483,1541,1604,1656,1707,1767,1838,1882,1882,1882,1882,1882,1882,1882,1882,1954,2023,2090,2153,2204,2256,2316,2374,2424,2468,2526,2588,2631,2631,2631,2631,2631,2682,2727,2781,2840,2904,2959,3015,3076,3127,3181,3235,3302,3330,3330,3330,3330,3330,3330,3330,3382,3445,3492,3548,3579,3579,3579,3579,3579,3656,3728,3806,3874,3918,3964,4016,4067,4138,4207,4263,4307,4365,4408,4451,4485,4485,4531,4596,4637,4686,4725,4762,4762,4806,4851
Northampton Town,https://s.hs-data.com/bilder/wappen/mittel/3184.gif,green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich City,https://s.hs-data.com/bilder/wappen/mittel/744.gif,green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,79,79,137,188,239,283,336,382,382,436,487,536,536,604,649,711,764,809,854,926,979,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1055,1055,1055,1055,1055,1055,1055,1102,1146,1179,1179,1213,1213,1213,1213
Nottingham Forest,https://s.hs-data.com/bilder/wappen/mittel/743.gif,green,0,0,0,0,0,38,84,128,164,199,241,285,332,387,435,484,526,560,604,604,654,704,748,782,782,782,782,782,782,782,782,829,871,901,901,901,901,901,901,901,901,901,901,901,901,901,901,901,901,901,901,901,901,901,901,901,901,901,901,959,1016,1064,1115,1164,1225,1282,1346,1396,1475,1528,1571,1619,1669,1702,1702,1702,1702,1702,1702,1791,1872,1940,2009,2066,2135,2209,2273,2341,2406,2479,2543,2597,2651,2710,2750,2750,2827,2885,2919,2919,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949
Notts County,https://s.hs-data.com/bilder/wappen/mittel/3106.gif,blue,0,17,40,77,114,148,148,148,148,148,180,229,267,325,371,414,455,478,523,562,609,659,714,766,815,845,845,885,933,933,933,933,989,1050,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1143,1195,1236,1236,1236,1236,1236,1236,1236,1236,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276
Oldham Athletic,https://s.hs-data.com/bilder/wappen/mittel/2897.gif,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,103,159,219,281,334,376,426,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,517,566,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606
Oxford United,https://s.hs-data.com/bilder/wappen/mittel/3272.gif,green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,88,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
Portsmouth FC,https://s.hs-data.com/bilder/wappen/mittel/2220.gif,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,106,161,228,292,353,410,465,524,585,636,685,742,806,889,964,1027,1095,1147,1200,1266,1323,1366,1410,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1517,1556,1594,1648,1705,1746,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774
Preston North End,https://s.hs-data.com/bilder/wappen/mittel/2249.gif,blue,0,58,106,145,200,254,287,337,376,421,453,492,532,566,566,566,566,615,679,728,776,826,876,923,969,969,1011,1011,1063,1117,1168,1218,1264,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1357,1419,1474,1539,1599,1664,1731,1775,1775,1775,1838,1913,1975,2031,2081,2160,2245,2303,2363,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403
Queens Park Rangers,https://s.hs-data.com/bilder/wappen/mittel/746.gif,blue_light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reading FC,https://s.hs-data.com/bilder/wappen/mittel/3285.gif,blue_light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,91,91,91,91,91,119,119,119,119,119,119,119
Sheffield United,https://s.hs-data.com/bilder/wappen/mittel/2309.gif,red,0,0,0,0,0,0,44,90,126,175,234,272,338,381,427,483,536,595,646,708,755,806,864,917,966,1014,1067,1125,1181,1217,1272,1330,1399,1451,1516,1577,1632,1688,1739,1791,1857,1917,1960,1960,1960,1960,1960,1960,2030,2088,2132,2132,2132,2132,2132,2176,2234,2279,2279,2279,2279,2279,2279,2345,2405,2464,2511,2570,2628,2671,2671,2671,2671,2734,2789,2843,2910,2938,2938,2938,2938,2938,2938,2938,2938,2938,2938,2938,2938,2938,2938,2938,2984,3041,3093,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3173,3173,3173,3173,3173,3173,3173,3173,3173,3173,3173,3173,3173
Sheffield Wednesday,https://s.hs-data.com/bilder/wappen/mittel/745.gif,yellow,0,0,0,0,0,39,74,114,155,196,244,276,276,325,372,433,500,547,609,656,717,774,828,887,944,1014,1061,1119,1149,1149,1149,1149,1149,1149,1149,1203,1255,1328,1414,1488,1560,1632,1689,1756,1807,1846,1846,1846,1846,1846,1846,1846,1890,1890,1937,1988,2022,2022,2076,2119,2119,2187,2268,2334,2401,2469,2528,2578,2633,2678,2724,2757,2757,2757,2757,2757,2757,2757,2757,2757,2757,2757,2757,2757,2757,2757,2822,2895,2947,3000,3042,3085,3085,3160,3219,3283,3334,3374,3431,3475,3521,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552
Southampton FC,https://s.hs-data.com/bilder/wappen/mittel/545.gif,red_dark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,98,159,194,257,300,351,398,398,398,398,398,450,513,583,649,706,783,851,897,949,999,1044,1099,1144,1196,1246,1289,1343,1381,1422,1470,1511,1555,1607,1652,1704,1751,1783,1783,1783,1783,1783,1783,1783,1783,1824,1880,1940,2003,2049,2085,2124
Stoke City,https://s.hs-data.com/bilder/wappen/mittel/2807.gif,red,0,16,29,29,48,89,131,164,209,245,277,323,370,408,450,502,539,582,637,671,671,671,671,671,671,671,671,671,671,671,671,711,711,711,711,711,711,711,711,711,711,711,767,827,894,951,1002,1065,1144,1196,1253,1298,1351,1394,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1492,1550,1607,1665,1714,1756,1816,1865,1910,1962,2023,2089,2145,2189,2189,2189,2238,2292,2336,2393,2443,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2505,2552,2598,2643,2685,2735,2789,2840,2884,2917,2917
Sunderland AFC,https://s.hs-data.com/bilder/wappen/mittel/547.gif,red,0,0,0,35,98,168,223,291,343,373,426,477,537,595,658,715,771,827,877,928,979,1044,1103,1163,1216,1295,1352,1411,1481,1536,1592,1668,1743,1810,1879,1949,2003,2070,2131,2188,2243,2298,2358,2431,2512,2575,2633,2684,2746,2795,2851,2924,2976,3033,3091,3141,3204,3264,3308,3350,3350,3350,3350,3350,3350,3350,3401,3451,3501,3551,3596,3628,3628,3628,3628,3628,3628,3628,3673,3673,3673,3673,3722,3766,3816,3868,3908,3908,3908,3908,3908,3908,3942,3942,3942,3942,3942,3942,3982,3982,3982,4040,4097,4137,4156,4156,4156,4171,4171,4210,4246,4290,4337,4382,4421,4459,4497,4536,4560,4560,4560
Swansea City,https://s.hs-data.com/bilder/wappen/mittel/3183.gif,white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,157,203,245,301,348,389,422,422
Swindon Town,https://s.hs-data.com/bilder/wappen/mittel/2237.gif,green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Tottenham Hotspur,https://s.hs-data.com/bilder/wappen/mittel/552.gif,white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,88,139,181,227,263,263,329,401,459,509,566,620,677,730,730,730,730,730,730,800,840,840,840,840,840,840,840,840,840,925,1000,1056,1109,1165,1217,1295,1367,1416,1490,1587,1660,1738,1811,1875,1935,2015,2081,2140,2200,2271,2341,2402,2458,2505,2562,2607,2607,2661,2716,2773,2844,2913,2974,3051,3116,3187,3234,3291,3354,3403,3455,3514,3559,3621,3682,3728,3772,3819,3872,3921,3971,4021,4066,4118,4183,4243,4289,4340,4410,4472,4541,4613,4682,4746,4816,4902,4979,5051
Watford FC,https://s.hs-data.com/bilder/wappen/mittel/747.gif,yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,128,183,242,305,337,337,337,337,337,337,337,337,337,337,337,337,361,361,361,361,361,361,361,389,389,389,389,389,389,389,389,389,434,474,515,565
West Bromwich Albion,https://s.hs-data.com/bilder/wappen/mittel/748.gif,blue,0,32,68,85,109,150,196,230,255,291,334,376,417,446,446,498,529,529,529,529,529,529,529,529,583,634,692,747,835,888,943,1005,1055,1134,1190,1231,1231,1231,1231,1231,1297,1366,1427,1488,1542,1596,1646,1646,1646,1646,1646,1700,1750,1805,1876,1951,2007,2066,2122,2190,2257,2325,2384,2442,2497,2556,2608,2677,2732,2795,2854,2905,2950,2997,3034,3034,3034,3034,3095,3163,3246,3298,3370,3414,3471,3522,3577,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601,3627,3627,3661,3691,3691,3691,3723,3723,3770,3817,3866,3902,3946,3989,4034,4065,4065
West Ham United,https://s.hs-data.com/bilder/wappen/mittel/553.gif,red_dark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,111,163,228,281,335,397,447,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,559,613,662,723,777,831,892,946,996,1048,1105,1153,1197,1245,1308,1356,1408,1457,1504,1548,1548,1548,1548,1606,1670,1730,1781,1865,1917,1959,1997,1997,1997,2035,2035,2087,2137,2188,2230,2286,2343,2398,2440,2493,2535,2535,2535,2590,2631,2680,2731,2766,2799,2799,2845,2885,2932,2994,3039,3081,3133
Wigan Athletic,https://s.hs-data.com/bilder/wappen/mittel/3116.gif,green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,89,129,174,210,252,295,331,331,331,331,331,331,331
Wimbledon FC,https://s.hs-data.com/bilder/wappen/mittel/2243.gif,yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,123,174,229,285,338,392,457,513,554,610,654,696,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729
Wolverhampton Wanderers,https://s.hs-data.com/bilder/wappen/mittel/749.gif,orange,0,40,75,113,150,190,235,269,300,339,388,437,491,531,576,623,673,710,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,789,843,896,951,1019,1090,1167,1248,1314,1377,1450,1503,1553,1623,1705,1772,1841,1909,2001,2090,2168,2250,2299,2369,2420,2463,2463,2463,2513,2558,2610,2684,2749,2814,2868,2921,2961,2961,3009,3056,3122,3170,3210,3210,3239,3239,3239,3239,3239,3239,3239,3239,3239,3239,3239,3239,3239,3239,3239,3239,3239,3239,3239,3239,3272,3272,3272,3272,3272,3272,3310,3350,3375,3375,3375,3375,3375,3375,3375,3432
