country,category,url,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hungary,Europe,https://cdn.countryflags.com/thumbs/hungary/flag-button-round-250.png,"","","","","",16594,16839,17166,17526,18698,20121,21356,21870,23717,24446,25274,26878,28247,31099,30682,30776,30587,30595,30172,31370,32497,32420,33666,33308,33435,32267,30737,28181,28859,27989,29110,29923,29392,29100,28966,28471,29222,29309,30007,29997,31761,31555,30912,30664,28820,29876,29078,27511,26422,26917,28292
Iceland,Europe,https://cdn.countryflags.com/thumbs/iceland/flag-button-round-250.png,35851,33921,35219,38141,38458,40060,42330,41802,45637,41326,49218,50919,51218,61278,59687,58983,59145,65161,66415,75770,76304,83490,82296,84367,87588,85304,88452,91382,91673,92842,103597,93672,90195,95942,96452,96014,102899,99833,105096,116745,128994,123155,125657,124805,122397,122404,148096,171496,190195,196675,197979,211172,205037,211411,208364,203279
India,Asia & the Pacific,https://cdn.countryflags.com/thumbs/india/flag-button-round-250.png,"","","","","","","","","","","",3118,3117,3132,3180,3218,3271,3288,3258,3330,3338,3427,3477,3508,3571,3674,3721,3780,3901,3999,4086,4171,4237,4254,4332,4494,4545,4637,4662,4842,4869,4854,4915,4950,5129,5246,5437,5658,5850,6352,6549,6738,6983,7057,7413,""
Indonesia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/indonesia/flag-button-round-250.png,"","","","","","","","","","","",3456,3504,3571,3608,3659,3731,4045,4227,4319,4392,4515,4522,4501,4576,4639,5014,5078,5119,5311,6323,6518,6681,7218,7114,7726,7888,8036,7750,8005,8557,8637,8834,8737,9186,9221,9310,9141,9196,9809,10171,9670,9905,10037,10279,""
Iran,Asia & the Pacific,https://cdn.countryflags.com/thumbs/iran/flag-button-round-250.png,"","","","","","","","","","","",6593,6297,7767,8978,9463,10447,11335,10623,11622,11446,12393,13921,11411,12740,13213,12784,12546,12371,14066,14340,15578,16149,17172,18830,19431,18436,20262,20250,22562,21634,23135,23617,24112,25991,28515,29465,30828,32668,32232,31861,32092,32971,33186,35163,""
Iraq,Asia & the Pacific,https://cdn.countryflags.com/thumbs/iraq/flag-button-round-250.png,"","","","","","","","","","","",4553,4704,4940,5200,6060,7263,7275,8033,9290,8282,7962,8028,9426,9718,10990,11615,11280,13306,14326,13343,10342,14937,18875,20747,19327,18759,21632,14959,11212,12813,13919,12871,11509,11534,11381,10471,10395,10981,12816,14181,15044,16273,16940,16438,""
Ireland,Europe,https://cdn.countryflags.com/thumbs/ireland/flag-button-round-250.png,15337,16240,16430,16909,17703,17583,18952,20555,21877,22964,23534,26113,25522,26033,26377,24236,24541,25630,25338,29474,28065,27830,27410,27169,27286,28359,29115,30340,30154,30880,32801,32887,32275,32723,34210,34330,36312,37861,39746,41221,42179,43188,42581,40880,41380,40747,39822,39728,38307,36629,36657,33324,33181,32738,31884,32795
Israel,Asia & the Pacific,https://cdn.countryflags.com/thumbs/israel/flag-button-round-250.png,"","","","","","","","","","","",21749,20426,27544,20154,23641,21307,20776,21508,23327,23460,21407,22775,20863,21265,20806,24449,26498,28513,28946,28615,27034,30016,30641,31847,32520,32578,33507,33560,31839,33720,34576,33294,34300,32819,30952,33522,33705,36391,33423,35383,34659,35677,33379,32127,32306
Italy,Europe,https://cdn.countryflags.com/thumbs/italy/flag-button-round-250.png,9243,10358,11711,13022,14208,15310,16643,18044,19752,21311,23564,22668,23850,25302,25727,24493,26330,25634,26139,27214,26963,26352,25662,25630,26210,26572,26883,27996,28642,29843,30050,30769,30555,30377,29987,32556,32519,32964,33877,34393,35031,35129,35323,36849,36866,37386,36934,36629,35908,33377,34082,32894,31509,29999,28080,28862
Jamaica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/jamaica/flag-button-round-250.png,"","","","","","","","","","","",12280,15413,17247,15893,15381,13762,13278,13635,13934,12250,12288,11908,10238,10105,8575,8628,8795,8913,11113,13358,13302,13879,13789,13923,14676,15319,15171,15619,15911,16692,16618,15390,15933,16020,15735,17530,17533,14675,12525,11038,11723,11337,11736,11412,""
Japan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/japan/flag-button-round-250.png,10163,11198,11673,13217,14659,15835,17177,20009,22544,25511,28590,29436,31017,34473,34008,31693,33457,33725,33707,35402,34310,33312,33036,32841,35097,34950,35129,35403,37712,38968,41300,41580,42448,42618,44786,45775,46618,46998,46003,46650,47494,46616,46426,45975,47429,47252,47146,46667,44873,42781,45278,41993,41139,41491,40364,39874
Jordan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/jordan/flag-button-round-250.png,"","","","","","","","","","","",3169,3336,3674,3766,4247,5311,5293,6323,6309,7456,8958,9797,10208,10772,10511,10844,11070,10550,10180,10693,10485,11141,10454,10681,10939,10882,10851,11003,10778,11088,10787,11129,11148,13063,13588,13431,13537,12667,12715,11501,10848,11422,10681,10798,""
Kazakhstan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kazakhstan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52251,52985,55779,46734,42009,38417,33858,29955,30355,27984,27879,27034,31101,33623,39345,39064,46668,49636,51836,45872,49251,54321,51159,55668,51574,""
Kenya,Africa,https://cdn.countryflags.com/thumbs/kenya/flag-button-round-250.png,"","","","","","","","","","","",5279,5326,5273,5277,5211,5267,5327,5287,5277,5271,5219,5118,5015,5112,5141,5403,5430,5377,5388,5323,5248,5217,5183,5084,5171,5208,5123,5169,5139,5176,5105,5034,5006,5122,5162,5237,5206,5243,5402,5490,5454,5374,5534,5971,""
Kiribati,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kiribati/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1142,"","","","","","","","","","","","","",1027,1007,1233,1328,"","","","","","","",""
Kuwait,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kuwait/flag-button-round-250.png,"","","","","","","","","","","",88875,92035,91256,82111,73546,75080,76325,78430,93317,88592,82999,88222,89602,88499,93811,96197,98928,115076,130696,50456,15377,"","","",106808,103683,99631,106327,107075,106145,110137,111440,117421,123090,134258,125548,122017,125903,129587,124433,118015,127386,112907,104167,""
Kyrgyzstan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kyrgyzstan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",19826,17684,12824,9965,7197,6080,6928,6421,6732,5796,5505,5069,5643,5945,5790,5798,5645,6519,6907,6231,5877,6981,8573,8028,7564,""
Laos,Asia & the Pacific,https://cdn.countryflags.com/thumbs/laos/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Latvia,Europe,https://cdn.countryflags.com/thumbs/latvia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",34300,32467,27160,23942,22026,21510,21399,21182,20889,19351,18822,20459,20506,21980,22807,23522,24582,25351,24497,23909,24988,24034,25243,25076,25316,""
Lebanon,Asia & the Pacific,https://cdn.countryflags.com/thumbs/lebanon/flag-button-round-250.png,"","","","","","","","","","","",9133,9182,11151,11215,9772,10384,8096,9654,10412,11041,10481,7891,8488,8606,10118,11224,11594,8626,8521,8406,10218,10099,14073,15037,16905,17608,19745,19269,19888,17639,18209,17255,16440,15915,14708,13742,12024,15363,18483,17103,16086,16963,15587,15553,""
Lesotho,Africa,https://cdn.countryflags.com/thumbs/lesotho/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",168,196,112,111,"","","","","","","",""
Liberia,Africa,https://cdn.countryflags.com/thumbs/liberia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Libya,Africa,https://cdn.countryflags.com/thumbs/libya/flag-button-round-250.png,"","","","","","","","","","","",8195,10981,12430,13284,16113,14035,16773,18289,19720,25463,26446,27645,27179,28143,30420,29361,31153,29159,30865,29273,28994,28186,28613,31645,32868,34310,34322,34216,33260,34369,34859,35682,36135,36569,35682,35532,32546,34196,36667,39181,25701,32363,36442,33496,""
Liechtenstein,Europe,https://cdn.countryflags.com/thumbs/liechtenstein/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Lithuania,Europe,https://cdn.countryflags.com/thumbs/lithuania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",50522,53517,34638,28751,25823,27925,30354,28962,30624,26279,23697,27734,29939,31508,32322,30968,31005,34043,34609,32224,26467,28057,28714,27407,27764,""
Luxembourg,Europe,https://cdn.countryflags.com/thumbs/luxembourg/flag-button-round-250.png,122387,122510,121121,121717,129675,127073,121889,120509,129263,139259,140794,137967,139671,147102,151467,122172,124075,119539,129046,121627,113679,99157,93712,88111,94350,97074,94942,92376,94882,101180,103205,108780,107718,107774,102614,89613,89681,86176,82187,84514,89281,92840,95420,99430,109175,109657,106653,102040,100160,92478,96871,93695,89809,85040,79794,76157
Macao,Asia & the Pacific,https://image.flaticon.com/icons/svg/197/197493.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Macedonia,Europe,https://cdn.countryflags.com/thumbs/macedonia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14432,14163,15795,16254,14516,14658,17271,15626,16699,15569,15247,14668,14345,15799,15527,15809,16529,17034,16992,15824,16171,17516,16605,15130,14683,""
Madagascar,Africa,https://cdn.countryflags.com/thumbs/madagascar/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Malawi,Africa,https://cdn.countryflags.com/thumbs/malawi/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Malaysia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/malaysia/flag-button-round-250.png,"","","","","","","","","","","",6363,6292,6089,6721,6902,7310,7186,9007,10288,10024,10426,10325,11751,11820,11592,12652,12426,12649,13483,14076,16907,18167,19159,18592,19616,21161,24009,22257,22006,24523,24968,25275,26542,27994,29791,29400,31611,32453,30283,30357,31076,31042,34375,34512,""
Maldives,Asia & the Pacific,https://cdn.countryflags.com/thumbs/maldives/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2651,"","","","","","","","","","","","","",9366,8207,10231,10347,"","","","","","","",""
Mali,Africa,https://cdn.countryflags.com/thumbs/mali/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Malta,Europe,https://cdn.countryflags.com/thumbs/malta/flag-button-round-250.png,"","","","","","","","","","","",8093,10153,9821,9018,8001,9050,9569,11052,10554,11689,13136,14605,10991,14482,11907,19516,20360,21764,23065,22813,21474,21016,26621,23915,21853,21360,23811,20850,22602,20139,23275,21537,24091,24034,25366,23907,25080,23766,21948,23403,23182,24311,20971,20718,""
Marshall Islands,Asia & the Pacific,https://cdn.countryflags.com/thumbs/marshall-islands/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6476,6479,6699,7138,"","","","","","","",""
Mauritania,Africa,https://cdn.countryflags.com/thumbs/mauritania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Mauritius,Africa,https://cdn.countryflags.com/thumbs/mauritius/flag-button-round-250.png,"","","","","","","","","","","",5049,5063,5105,5226,5219,5350,5518,5539,5442,5190,5059,4821,4959,5022,5038,5707,5954,5977,6526,7319,7378,7650,7894,7648,8106,8166,8287,8727,9017,9899,10313,10155,10572,10697,10998,11705,11718,11946,11624,12251,12252,12418,12731,12925,""
Mexico,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/mexico/flag-button-round-250.png,"","","","","","","","","","","",9303,9965,10670,11009,11299,11753,12370,13477,14421,15948,16637,17025,15685,16046,16328,15568,16055,15938,16328,16851,17343,17142,17089,17143,16296,16369,16943,17144,17379,17149,17523,17391,18201,18167,19151,19300,18875,18383,18112,17324,17931,18452,18232,17599,17305
Moldova,Europe,https://cdn.countryflags.com/thumbs/moldova/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",31128,25906,21483,19158,16037,14930,12857,12318,11376,9935,9212,9774,9936,10816,10896,11312,11192,10915,10896,10362,11451,11277,11159,10032,10796,""
Monaco,Europe,https://cdn.countryflags.com/thumbs/monaco/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Mongolia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/mongolia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","",18894,19808,20308,21056,19482,18148,20007,17312,16051,13775,13637,11395,11070,11064,10983,11625,11605,12305,11894,12112,13789,15494,16021,15858,16227,16902,18166,19723,21318,21378,""
Montenegro,Europe,https://symondsflags.com/wp-content/uploads/2014/09/montenegro-flag.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",20305,22254,22422,24050,19146,22077,21114,19908,18380,17890,""
Morocco,Africa,https://cdn.countryflags.com/thumbs/morocco/flag-button-round-250.png,"","","","","","","","","","","",2102,2217,2403,2551,2587,2733,2936,3040,3166,3140,3079,3128,3176,3200,3189,3219,3235,3330,3548,3561,3674,3823,3900,4110,4011,4156,4228,4255,4470,4441,4655,4678,4606,5404,5656,5687,5798,5950,5919,6129,6514,6511,6444,6432,""
Mozambique,Africa,https://cdn.countryflags.com/thumbs/mozambique/flag-button-round-250.png,"","","","","","","","","","","",8554,8200,8045,7781,7510,7204,7117,6734,6585,6596,6281,6141,5956,5786,5702,5621,5570,5511,5429,5198,5043,4933,4836,4700,4637,4582,4590,4518,4489,4616,4721,4645,4755,4794,4718,4718,4779,4731,4764,4782,4831,4780,4809,4972,""
Myanmar,Asia & the Pacific,https://cdn.countryflags.com/thumbs/myanmar/flag-button-round-250.png,"","","","","","","","","","","",3401,3378,3248,3301,3279,3322,3314,3280,3268,3283,3255,3249,3218,3261,3434,3434,3239,3148,3179,3057,2965,3018,2959,3108,3176,3141,3166,3209,3179,3240,3130,3200,3436,3591,3573,3596,3707,3551,3343,3251,3295,3571,3755,4324,""
Namibia,Africa,https://cdn.countryflags.com/thumbs/namibia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5511,5679,5932,6207,6598,6875,6818,6912,6712,6244,7271,6634,6829,7079,7586,7512,7641,8036,8063,8233,8337,8455,8719,8857,""
Nauru,Asia & the Pacific,https://cdn.countryflags.com/thumbs/nauru/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Nepal,Asia & the Pacific,https://cdn.countryflags.com/thumbs/nepal/flag-button-round-250.png,"","","","","","","","","","","",3474,3497,3528,3523,3513,3499,3509,3508,3545,3560,3539,3553,3585,3592,3543,3581,3569,3572,3536,3590,3611,3600,3596,3626,3648,3649,3685,3704,3832,3971,4031,4008,4058,4058,4141,4093,4129,4231,4313,4394,4497,4249,4667,4799,""
Netherlands,Europe,https://cdn.countryflags.com/thumbs/netherlands/flag-button-round-250.png,21235,21854,24202,26381,27319,28995,30302,32131,35387,39109,43793,44836,50951,53652,52351,50226,55160,53035,54226,56622,52902,49653,44020,45775,48237,48664,50210,51028,50254,50286,51108,53541,52364,52458,52472,55596,58324,56239,56317,55012,55115,56282,56676,58387,59148,58027,57279,57090,56382,54918,58444,53924,54035,53500,50305,49230
New Zealand,Oceania,https://cdn.countryflags.com/thumbs/new-zealand/flag-button-round-250.png,19605,20506,20834,22378,25308,26067,26588,25454,26973,27612,28584,27831,30437,30959,33524,32241,34060,35530,35259,32964,33567,33145,35040,35782,37809,40104,40287,40157,41980,44736,44826,43773,44292,46146,47161,47144,48046,49529,48414,50101,51523,51260,50443,48818,49307,47626,47070,47153,47482,47371,49137,48578,50681,50710,53031,51692
Nicaragua,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/nicaragua/flag-button-round-250.png,"","","","","","","","","","","",5726,5675,5967,6074,6123,6374,6804,6379,5220,5492,5484,5457,5540,5937,6055,5915,5842,5405,5671,5665,5881,5929,5709,5649,5696,5691,5850,5782,5770,5822,5788,5916,5975,6167,6186,6048,6069,6057,6015,5991,6124,6504,6883,7082,""
Niger,Africa,https://cdn.countryflags.com/thumbs/niger/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1504,1494,1496,1506,1519,1480,1462,1474,1487,1518,1577,1319,1492,1809,1753,""
Nigeria,Africa,https://cdn.countryflags.com/thumbs/nigeria/flag-button-round-250.png,"","","","","","","","","","","",6734,6808,6944,6982,7076,7237,7399,7511,7596,7735,7866,8045,8066,7882,7941,7809,7871,7895,7960,8108,8283,8396,8320,7916,7934,8068,8136,7991,8073,8178,8374,8427,8683,8703,8815,8659,8731,8755,8390,8792,9053,9284,9069,8878,""
North Korea,Asia & the Pacific,https://cdn.countryflags.com/thumbs/north-korea/flag-button-round-250.png,"","","","","","","","","","","",15245,15411,15356,15685,15906,16603,17246,18283,19312,20210,20449,21036,21469,21650,22178,21498,20413,20496,20127,19039,17890,15393,13939,12562,11695,10166,9588,8867,9418,10000,10241,9750,9895,10045,10380,10416,8796,9639,9469,8941,6585,6670,5049,5515,""
Norway,Europe,https://cdn.countryflags.com/thumbs/norway/flag-button-round-250.png,22168,22534,23865,25388,26981,29535,31518,32746,35505,37142,39747,39708,40744,41962,41642,42469,46080,47219,50712,51953,52240,51346,49571,51495,54336,56002,58430,58714,56023,57966,57764,59372,60006,63495,61816,62702,60499,63676,66114,68771,67757,69245,63977,69003,67097,67485,67846,68177,78534,75410,80649,65705,68688,74617,65077,67637
Oman,Asia & the Pacific,https://cdn.countryflags.com/thumbs/oman/flag-button-round-250.png,"","","","","","","","","","","",1318,1303,1391,2058,3149,4735,8858,6255,8980,11594,9338,13395,11684,18271,16380,14805,16433,15302,17125,27078,35863,32002,33301,32692,32187,32608,34867,35082,36311,38812,38910,40221,41938,41898,45873,69475,77296,65983,63805,71575,79085,79465,76565,71428,""
Pakistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/pakistan/flag-button-round-250.png,"","","","","","","","","","","",3319,3316,3387,3489,3543,3479,3519,3552,3638,3688,3824,3917,3995,3993,4069,4110,4374,4450,4561,4633,4620,4790,4904,4977,5069,5203,5211,5196,5359,5378,5347,5293,5419,5691,5781,5900,6091,5867,5834,5797,5719,5664,5680,5634,""
Palau,Asia & the Pacific,https://cdn.countryflags.com/thumbs/palau/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",56625,"","","","","","","","","","","","","","","","","","","","","","","","",""
Palestine,Asia & the Pacific,https://vectorflags.s3-us-west-2.amazonaws.com/flags/ps-circle-01.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Panama,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/panama/flag-button-round-250.png,"","","","","","","","","","","",12320,13487,14312,13695,11269,10874,10464,9999,10443,8302,8657,9262,9663,8656,8174,8126,8499,7748,7143,7016,7449,8317,8265,8527,8476,8877,9041,10274,9927,9859,10962,9772,9601,9295,10176,10676,10263,10106,10957,11519,12282,12462,12034,12550,""
Papua New G.,Asia & the Pacific,https://cdn.countryflags.com/thumbs/papua-new-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Paraguay,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/paraguay/flag-button-round-250.png,"","","","","","","","","","","",6277,6287,6645,6434,6141,6369,6751,7340,7250,7622,7398,7334,7288,7211,7154,7244,8130,8454,8965,8480,8533,8288,8399,8964,9589,9591,10200,9852,9206,8446,8431,8204,8224,8162,7945,8066,8243,8523,8521,9004,9009,9110,8886,9172,""
Peru,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/peru/flag-button-round-250.png,"","","","","","","","","","","",7746,7545,7656,7889,7907,7820,7891,7459,7243,7542,7404,7358,6608,6615,6295,6267,6291,6052,5465,5186,4983,4750,4973,5056,5307,5376,5123,5309,5576,5484,5223,5190,5024,5490,5747,5512,5892,6104,6320,7390,7425,7884,7750,8928,""
Philippines,Asia & the Pacific,https://cdn.countryflags.com/thumbs/philippines/flag-button-round-250.png,"","","","","","","","","","","",4836,4727,5116,4987,5141,5241,5312,5254,5414,5499,5379,5371,5685,4975,5087,4951,5039,5191,5319,5389,5249,5356,5225,5470,5599,5660,5824,5861,5887,5963,5589,5548,5450,5327,5237,5108,5033,5139,4815,5012,4963,5193,5289,5538,""
Poland,Europe,https://cdn.countryflags.com/thumbs/poland/flag-button-round-250.png,21258,22027,22990,23074,23623,24283,24898,25575,26635,28358,29656,30552,31328,32381,33519,35232,36726,37818,40570,41464,41394,37742,39687,38971,37352,38983,40289,41117,40669,37904,31466,30715,29879,30524,29030,29976,31169,30739,28607,27873,26985,27172,26914,27621,27714,28076,29505,29393,29828,28685,30705,30859,29849,29838,28765,28961
Portugal,Europe,https://cdn.countryflags.com/thumbs/portugal/flag-button-round-250.png,3918,4254,4223,4593,4771,5127,5253,5658,5781,6745,7720,8443,8667,9290,9587,9831,10145,9831,10662,11608,11891,11705,13016,13001,12977,12721,14054,14435,15114,18326,19549,19809,21095,20776,21256,23423,23106,24230,26051,27801,27796,27809,28813,27920,28644,29296,27799,27940,27182,26795,25849,25167,23713,23932,23661,24791
Puerto Rico,Latin America & the Caribbean,https://image.flaticon.com/icons/svg/323/323292.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Qatar,Asia & the Pacific,https://cdn.countryflags.com/thumbs/qatar/flag-button-round-250.png,"","","","","","","","","","","",90171,90725,117130,93142,144371,102237,110646,98184,159537,172119,194331,201649,186636,191602,176977,175306,170351,169519,166894,159311,172290,177234,181683,180375,184577,192535,221339,225488,231148,214435,227509,245883,238686,255388,224094,225499,216404,190398,177170,180634,186435,209986,208487,215883,""
Romania,Europe,https://cdn.countryflags.com/thumbs/romania/flag-button-round-250.png,"","","","","","","","","","","",23944,24790,26700,26581,28292,30172,31813,33974,33521,34105,33596,33456,33614,33226,33189,33926,35210,35281,34739,31205,25955,23875,23303,22011,23887,24536,23143,21206,18768,18773,19349,20412,21309,20974,21054,21917,22144,22433,19916,20120,20667,20256,18561,18511,""
Russia,Europe,https://cdn.countryflags.com/thumbs/russia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",68950,68165,62233,58821,51507,49900,49457,47330,46304,48110,49128,49874,49871,51885,52261,52810,54526,54775,56092,52698,56045,58724,60092,59064,57485,""
Rwanda,Africa,https://cdn.countryflags.com/thumbs/rwanda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
St K. & Nevis,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/saint-kitts-and-nevis/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6152,"","","","","","","","","","","","","",18425,18900,18670,19389,"","","","","","","",""
St Lucia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/saint-lucia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4706,"","","","","","","","","","","","","",8601,8737,8367,8898,"","","","","","","",""
St V. & G.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/saint-vincent-and-the-grenadines/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3184,"","","","","","","","","","","","","",7070,7165,7475,7465,"","","","","","","",""
Samoa,Asia & the Pacific,https://cdn.countryflags.com/thumbs/samoa/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3087,"","","","","","","","","","","","","",3642,3684,3660,3700,"","","","","","","",""
San Marino,Europe,https://cdn.countryflags.com/thumbs/san-marino/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Sao Tome & P.,Africa,https://cdn.countryflags.com/thumbs/sao-tome-and-principe/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2395,"","","","","","","","","","","","","",2908,3213,3211,3137,"","","","","","","",""
Saudi Arabia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/saudi-arabia/flag-button-round-250.png,"","","","","","","","","","","",14026,11369,12528,13333,13728,15124,16044,22884,28442,37133,47464,49908,51248,42574,40556,38528,43973,48250,46415,41318,46554,51479,52002,53369,52456,54989,51434,53773,53633,54809,54836,59062,58042,59981,59619,64255,64624,70181,72691,78657,73360,80108,74640,80679,""
Senegal,Africa,https://cdn.countryflags.com/thumbs/senegal/flag-button-round-250.png,"","","","","","","","","","","",3290,3237,3288,3282,3270,3256,3259,3189,3253,3245,3134,3015,2933,2994,2799,2840,2936,2707,2610,2595,2498,2576,2492,2405,2479,2475,2560,2640,2718,2821,2974,2943,2786,2904,2885,2816,2941,2987,3483,3449,3547,3415,3057,3164,""
Serbia,Europe,https://cdn2.iconfinder.com/data/icons/world-flag-icons/256/Flag_of_Serbia.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",30223,25604,23494,19945,18204,21034,25304,26747,26783,19618,21240,23195,24653,25862,28195,25115,26757,26146,26632,24076,24900,26021,23497,24201,21625,""
Seychelles,Africa,https://cdn.countryflags.com/thumbs/seychelles/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6289,"","","","","","","","","","","","","",36099,32002,33405,28037,"","","","","","","",""
Sierra Leone,Africa,https://cdn.countryflags.com/thumbs/sierra-leone/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Singapore,Asia & the Pacific,https://cdn.countryflags.com/thumbs/singapore/flag-button-round-250.png,"","","","","","","","","","","",15028,18252,19908,20887,19078,19692,20506,25756,24781,24724,24712,23109,25538,28557,28760,30595,32074,34670,33686,43993,48466,53368,63820,75135,62184,62329,67667,59118,53352,53901,59846,58917,72300,85720,58800,61224,54395,59244,49517,58227,58954,56967,56759,59566,""
Slovakia,Europe,https://cdn.countryflags.com/thumbs/slovakia/flag-button-round-250.png,"","","","","","","","","","","",36385,37501,38883,40287,41168,42231,43968,45696,46138,46332,45037,43666,43817,45731,46696,46283,47389,47754,47492,46806,41944,39666,38783,37921,38554,39126,39098,37873,38046,38293,40201,40517,40341,39730,40757,40347,38616,39608,36130,38458,37378,35828,36412,34229,34932
Slovenia,Europe,https://cdn.countryflags.com/thumbs/slovenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",33233,32319,30055,31579,32888,35464,36985,38499,37841,37710,37499,39322,39826,40280,41532,42401,42437,42246,44619,40661,41624,41495,39821,38739,37637,36923
