country,category,url,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/afghanistan/flag-button-round-250.png,10100,10100,10100,12400,13700,15300,18500,18700,18900,18300,14400,17800,18500,18700,18800,17600,10400,15200,14500,15000,14900,14300,14000,13400,12800,13000,11100,11300,11400,11378,11933,11600,11911,11818,11724,11629,11533,11434,11347,11241,11133,11023,13503,10800,9500,6284,7109,6500,4000,2000,6000,6000,6320,6930,4926,4055,3914,4707
Albania,Europe,https://cdn.countryflags.com/thumbs/albania/flag-button-round-250.png,2553,2100,2061,2370,2000,2240,2560,2800,3520,3300,4000,5500,5200,5600,6000,9000,8000,9400,9600,10800,9200,12600,13800,12000,13200,13900,9900,13400,15100,10200,11000,12900,13300,13000,3782,3001,3017,2216,2200,2600,2800,3400,4400,4900,5200,3670,4200,4500,5750,6631,7100,9120,9665,4120,8347,10063,9130,10779
Algeria,Africa,https://cdn.countryflags.com/thumbs/algeria/flag-button-round-250.png,251000,275820,282000,320930,285738,282010,282277,295944,345367,360388,346046,357295,342893,350471,336580,359022,342932,284686,297264,280661,229598,200944,161837,182937,169885,167235,183270,207980,176620,183830,221965,251937,249842,252878,226716,236724,243284,280393,307349,299583,327083,362490,389372,417150,435236,474453,490915,502991,626091,582496,814740,802517,890674,955206,1005079,892764,1013951,1134194
Andorra,Europe,https://cdn.countryflags.com/thumbs/andorra/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Angola,Africa,https://cdn.countryflags.com/thumbs/angola/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Antigua & B.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Argentina,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/argentina/flag-button-round-250.png,521000,518000,496500,528000,420000,614000,640400,682000,820500,864600,990000,750000,782800,833000,729000,743000,740000,670000,706000,704000,668000,606000,639000,620400,620800,623200,642400,650200,680800,648300,773900,739000,708900,746576,760097,504429,918461,983833,706159,787096,918294,766854,687346,770000,885871,990000,800000,942541,898732,833486,1130074,933526,859752,1022276,1001309,1032446,1025000,1006779
Armenia,Europe,https://cdn.countryflags.com/thumbs/armenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-button-round-250.png,177832,177832,202634,190184,235922,198931,232455,214370,263845,234347,322424,291014,351904,310036,341042,361522,321674,356538,368554,392092,424494,376317,409995,391841,444953,486000,503760,478918,399248,487177,453262,469881,616496,582095,517242,442077,522622,499784,445840,509973,550200,450559,599484,395164,498112,507233,470673,409273,347724,391343,291223,389799,400554,350000,337636,398610,332321,378233
Austria,Europe,https://cdn.countryflags.com/thumbs/austria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Azerbaijan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/azerbaijan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",903,780,728,730,723,691,877,1105,2006,2051,2027,2173,2212,2226,2285,2266,596,755,797,845,1100,1563,1584,2036,3003,3018,3090
Bahamas,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bahamas/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3655,3658,3661,3664,3667,3670,3673,3676,3679
Bahrain,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bahrain/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bangladesh,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bangladesh/flag-button-round-250.png,10000,15000,17000,20000,20000,9000,10000,10000,10200,12200,10700,8100,8164,7712,8057,8581,8693,8479,8606,8566,8564,8684,9350,9459,9209,8441,7945,7955,8432,8685,1030,660,660,715,780,1000,1000,1000,1000,1000,1000,1000,975,1000,970,840,867,1558,2063,2666,2998,2986,3448,3674,3954,3218,3372,3315
Barbados,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/barbados/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Belarus,Europe,https://cdn.countryflags.com/thumbs/belarus/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Belgium,Europe,https://cdn.countryflags.com/thumbs/belgium/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Belize,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/belize/flag-button-round-250.png,35000,29000,30903,35067,34945,38864,28535,29964,34659,22779,37762,36496,39639,44946,32699,32740,25841,28005,23188,45273,43395,43191,30617,45885,42579,51641,73114,54621,59112,69236,49109,98283,130450,82465,127892,129246,185972,159111,181192,228192,234097,168300,165185,201943,255754,201300,213149,231115,225331,157230,181563,237020,165404,169781,166295,132585,130670,99341
Benin,Africa,https://cdn.countryflags.com/thumbs/benin/flag-button-round-250.png,10240,10400,10500,10500,10000,10000,10500,10500,11000,11000,10500,10500,11000,11500,12000,12000,12000,12000,12000,12000,12000,12000,12000,12500,12000,12000,12000,12000,12000,10839,9351,9559,9768,9976,10185,10393,10602,10811,11019,11228,11436,11645,11853,12062,12085,12330,12500,12775,13014,13269,13500,14000,14193,14427,14549,14747,14986,15226
Bhutan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bhutan/flag-button-round-250.png,16000,16500,17000,17500,18000,18500,19000,19500,20000,20500,21000,21500,22000,22500,23000,23500,24000,25000,25200,25400,25600,26800,28000,38672,26000,27000,53100,54000,55000,57700,57800,57900,58000,52139,50090,46724,44503,40590,39330,30000,32428,37300,36300,36000,39188,39491,40000,25000,42112,52621,63609,49501,49069,41485,15977,42003,28017,32149
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,42000,43000,45000,46000,48000,49300,50900,52500,47000,54000,58000,60000,60400,64330,67050,76500,79200,80870,84995,85710,84305,96205,95905,43323,38275,39296,69000,74000,76130,78457,82295,83590,88316,93770,92435,93638,99690,100555,105910,110000,110110,104591,84576,86118,87672,89748,91634,93351,165397,167134,167166,168109,165363,179722,181902,185093,180021,189335
Bosnia & H.,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",65,40,50,65,50,57,70,87,101,120,123,124,127,127,127,125,126,122,120,122,125,130,130,129,133,131,132
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,600,600,600,583,671,671,671,671,218,218,250,250,250,250,300,350,400,450,450,450,450,500,500,500,500,500,500,500,500,545,516,525,533,542,550,540,508,400,500,600,582,584,587,592,600,678,980,850,500,649,600,600,700,748,842,763,755,762
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,1761768,1850900,2106470,2054960,2285524,2353313,2504656,2717346,2896811,3099440,3256829,3789163,4930400,5858941,6313171,7168270,7164691,7826336,8445223,10891814,11393332,11598204,11713731,12944524,14214307,13233370,14611100,14975260,17773580,17520520,18936344,19682292,18797188,17445968,19837212,21079044,23046800,20850504,22893312,21330258,16983436,18530582,16917558,18313716,17853444,18032312,18684984,18538084,17618450,18503139,19811064,18012560,17549536,16928457,16953015,16980379,17492882,16713534
Brunei,Asia & the Pacific,https://cdn.countryflags.com/thumbs/brunei/flag-button-round-250.png,400,400,450,450,450,448,450,450,454,500,533,400,380,350,350,350,300,300,300,237,250,234,227,250,260,250,250,240,240,237,230,226,247,226,200,228,230,246,240,273,300,303,320,329,337,345,356,366,377,388,398,420,420,426,438,445,454,462
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,"","","","","","","","","","","","","","","","",200,200,200,200,200,400,400,500,500,500,500,500,500,452,491,496,500,504,508,513,517,522,578,542,538,539,541,543,550,500,550,560,566,573,578,600,610,603,604,611,617,623
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cambodia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cambodia/flag-button-round-250.png,38000,21000,31000,35000,40000,45000,26000,30000,41000,41000,41000,35500,35000,33000,30000,32000,32000,28000,20000,22000,23000,25000,30000,33000,36000,38000,40000,41000,42000,43000,45000,46000,47000,48500,50000,60000,62000,63000,63000,63000,63000,63000,63000,63000,63000,65000,63000,64000,65000,65239,64591,64435,64517,64697,65963,66021,66241,66462
Cameroon,Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cape Verde,Africa,https://cdn.countryflags.com/thumbs/cape-verde/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11500,11500,12000,12000,12000,12500,12500,13000,13200,13400,13400,13500,14000,14600,15100,15600,15900,16200,17000,18000,20000,20885,22000,22067,23000,24000,23246,22000,20000,20500,21000,21459,21751,22000,23000,24000,26474,30500,32794,35207,33152,34450,35285,34296
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,45000,48000,39000,43000,44000,41000,40000,44000,40000,43000,43000,43000,45500,46600,46900,48000,51000,53800,56585,59200,58815,65350,66776,72000,75000,78200,85500,96000,99000,97200,99000,105000,110000,112000,108000,125000,88000,96000,88000,97000,101000,120000,125000,140000,140000,148000,150000,160000,135000,132686,140282,142933,144610,136113,120074,121683,120175,113565
China,Asia & the Pacific,https://cdn.countryflags.com/thumbs/china/flag-button-round-250.png,43607,52404,46974,63167,66787,76033,81113,87060,89268,94111,115717,144740,155495,171200,167900,163000,188100,185400,232700,284856,282499,350120,435541,479217,576991,743836,998126,847756,1315768,1374163,1710868,1404557,1750281,1790268,2122798,2181986,2109963,1185447,1435398,1180631,1487609,1643469,2013132,2332836,2740931,3075070,3689311,4191040,4864956,5803289,6867029,7258745,7466496,7964133,8191678,8414043,8550882,9246305
Colombia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/colombia/flag-button-round-250.png,68000,72000,75000,78000,80000,81000,83000,87000,89000,91000,93000,95000,100000,105000,117378,189120,190048,192064,220700,225100,252890,230620,250100,228972,240000,298146,314318,333315,354822,160952,232679,256257,330000,375723,395520,407000,421060,300000,339776,352897,237624,297962,69163,88341,96179,405120,352983,264000,194243,228129,260715,229229,245267,233342,268750,294895,282434,243151
Comoros,Africa,https://cdn.countryflags.com/thumbs/comoros/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Congo,Africa,https://cdn.countryflags.com/thumbs/congo-republic-of-the/flag-button-round-250.png,2000,2000,2000,2000,2000,2200,2200,2300,2300,2400,2400,2500,2600,2700,2800,2800,2900,3000,3000,3000,3000,3000,2900,2900,2900,2850,2850,2850,2800,3082,2697,2600,2520,2500,2469,2338,2400,2400,2421,2487,2500,1981,2256,2256,2300,2400,2300,2294,2400,2280,2258,2264,2255,2228,2226,2228,2221,2214
Costa Rica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/costa-rica/flag-round-250.png,39200,40000,42200,43800,47200,49200,51200,55000,57000,59100,60000,62000,64000,65000,68000,70000,72500,74000,74000,75000,76000,77000,77500,77500,80000,81000,81500,82000,83000,110690,133000,134000,160000,129573,150000,165000,298483,329432,283195,405000,436564,367000,367000,447168,382704,448800,424000,278000,500000,252000,284486,280000,280000,220000,226844,230855,234877,236774
Cote d'Ivoire,Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-button-round-250.png,5000,5000,5000,5000,5000,5000,5000,5000,6000,8000,10000,12000,15000,15000,15000,18000,18000,18000,20000,21000,22000,24000,25000,26000,27000,28000,28000,28000,28000,18164,25910,27205,28156,28000,27623,28083,29030,29783,28634,29248,30007,30637,31280,32316,33386,34497,35000,35128,35533,35797,36809,37714,38056,39839,40441,40263,40506,41043
Croatia,Europe,https://cdn.countryflags.com/thumbs/croatia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",268,503,608,773,675,562,568,654,497,583,503,463,332,574,556,531,416,524,202,315,269,145,106,255,467,173,474
Cuba,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/cuba/flag-button-round-250.png,74000,74000,81743,94363,91280,127251,116823,126540,116205,128919,89961,119359,125076,105331,126903,127217,166446,192403,191369,304081,257544,338791,399645,370992,406390,440708,495949,507711,473530,601854,495389,455628,402869,269257,286200,295300,498000,374300,493186,470487,608172,296612,492200,495000,389469,178357,302800,200400,261000,178263,122900,93837,85110,36103,40159,38046,30552,21327
Cyprus,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cyprus/flag-button-round-250.png,57900,45200,66000,57900,60900,67500,86800,101600,106680,98552,165608,146812,193040,157480,32512,36068,40132,36881,36068,31512,40640,43180,41500,51000,45500,40000,51000,40000,50000,63000,55000,60000,57500,46000,55000,52500,50500,44500,52800,42700,36500,45500,42702,46822,48259,46792,42113,37847,34441,33583,40214,34763,34644,33254,32796,26449,20173,20377
Czech Rep.,Europe,https://cdn.countryflags.com/thumbs/czech-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
DR Congo,Africa,https://cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-button-round-250.png,105000,107000,109000,111000,113000,115000,117000,120000,125000,128800,125500,136100,140400,143000,144500,147100,143200,142500,141000,140000,142000,144000,146000,148000,150000,160000,170000,180000,190000,200000,232578,252068,273193,296078,199090,191797,197833,199257,192000,185000,178255,179600,179820,180040,180260,180480,180700,180920,181140,181360,181581,178206,172741,168326,169960,170510,169492,168473
Denmark,Europe,https://cdn.countryflags.com/thumbs/denmark/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Djibouti,Africa,https://cdn.countryflags.com/thumbs/djibouti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5
Dominica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominica/flag-button-round-250.png,1500,1500,1550,1600,1650,1700,1730,1750,1780,1800,1830,1850,1880,1900,1975,2012,3455,3242,2356,2356,2403,2427,2213,2284,2750,5123,5000,5773,4616,3185,3190,3719,3232,3800,4340,7292,8335,8000,7500,7200,7000,6918,7032,7076,7129,7200,7256,7273,7248,7300,6850,6250,6237,6221,6821,6760,6773,6786
Dominican Rep.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominican-republic/flag-button-round-250.png,51000,53452,54775,55862,56128,56953,57778,58595,59421,63889,65153,66109,66875,67641,65000,69000,68700,60200,69000,71000,65000,60000,55000,50965,61063,62126,58616,58967,59320,60386,60507,63596,70774,73120,77507,97521,98932,80602,81957,131432,66698,86082,157070,136287,103679,116899,121633,108278,128797,138034,139350,170923,157881,167413,149880,134543,130938,136049
Ecuador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/ecuador/flag-button-round-250.png,138969,136800,134781,129314,167632,164657,181747,143181,154866,152904,172864,153060,143698,237648,250000,300000,519794,498311,503710,533493,525236,500507,355154,271961,230726,69241,77620,86695,71431,77071,76811,76183,84321,88483,86123,91349,216618,121702,121702,149380,152225,109609,68219,124946,65897,57497,56059,54916,49088,47494,36607,48380,42050,114196,116809,75333,142546,103121
Egypt,Africa,https://cdn.countryflags.com/thumbs/egypt/flag-button-round-250.png,157000,280000,337000,329000,340000,487760,532000,495000,627000,567000,707202,683000,767000,819000,856000,781503,671000,843000,1050587,920881,895435,1201000,1243168,1182000,1168000,1234000,1387000,1199000,1398000,1574287,1624238,1771457,1324170,1513050,1555024,1613256,1522098,1441652,1636600,1610520,1696290,1808579,1767710,1850025,1940420,2120050,2054626,2138425,2372257,2401015,2577720,2786397,2855022,3135931,3351307,2939084,3147545,3246483
El Salvador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/el-salvador/flag-button-round-250.png,25400,26400,27000,29200,29900,30600,37300,32800,38232,38700,36100,38000,39000,40000,46695,47362,51226,97152,97150,99112,105230,104972,117576,99940,100022,102083,97405,86230,95910,107100,123900,124000,125000,124936,91200,33007,36307,26130,37044,37258,37300,37258,38776,38776,56312,59695,66978,73006,73132,45699,42446,94797,69038,65783,67020,69394,69403,64242
Equatorial Guinea,Africa,https://cdn.countryflags.com/thumbs/equatorial-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Eritrea,Africa,https://cdn.countryflags.com/thumbs/eritrea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Estonia,Europe,https://cdn.countryflags.com/thumbs/estonia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ethiopia,Africa,https://cdn.countryflags.com/thumbs/ethiopia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",13053,13000,13114,13296,13526,13500,14126,14000,13250,12500,12612,17375,50567,46583,42807,29341,43828,43979,48751,35746,33183,31428,31191,20656,24788,25902
Fiji,Asia & the Pacific,https://cdn.countryflags.com/thumbs/fiji/flag-button-round-250.png,200,500,800,150,350,200,400,500,200,400,600,300,400,200,800,600,150,500,300,200,600,400,200,700,500,200,183,665,431,526,400,371,400,500,474,452,500,644,700,547,464,350,34,216,339,137,257,74,27,95,98,97,97,93,1421,690,684,990
Finland,Europe,https://cdn.countryflags.com/thumbs/finland/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
France,Europe,https://cdn.countryflags.com/thumbs/france/flag-button-round-250.png,1300,1610,1890,2110,1580,3090,3120,2180,3500,2300,2000,2083,2084,2084,2615,3411,1770,1425,1340,1400,1794,1500,1600,1630,2551,2671,2711,2873,3095,1841,2113,1607,1637,1263,1154,1189,1217,1151,1073,550,552,693,611,647,644,758,4298,5008,4813,6074,5985,4213,4116,3657,3672,10478,10842,10692
Gabon,Africa,https://cdn.countryflags.com/thumbs/gabon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Gambia,Africa,https://cdn.countryflags.com/thumbs/gambia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Georgia,Europe,https://cdn.countryflags.com/thumbs/georgia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10000,3000,3300,4000,3000,2100,3100,2000,1500,2200,1200,2200,1400,4500,1900,3700,1900,1500,1400,600,3500,1400,1700,3500,2500,1800,1600
Germany,Europe,https://cdn.countryflags.com/thumbs/germany/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ghana,Africa,https://cdn.countryflags.com/thumbs/ghana/flag-button-round-250.png,26000,26000,24000,24000,29973,36985,57917,59949,63402,129000,129000,90000,128000,150400,150400,52000,19000,21000,11000,154200,133700,107900,129300,100000,80000,70000,65000,65000,59000,50000,80000,97000,115000,143000,200000,257800,257100,270400,270000,300000,300000,330000,338000,440000,500000,470000,520000,550000,560000,580000,600000,625000,663170,690130,690130,690130,700475,753213
Gibraltar,Europe,http://img.freeflagicons.com/thumb/round_icon/gibraltar/gibraltar_640.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Greece,Europe,https://cdn.countryflags.com/thumbs/greece/flag-button-round-250.png,312023,251934,271180,381827,379928,444854,301159,440346,475740,414415,362720,510027,429843,582963,556932,579045,581308,570821,346413,656221,728195,740509,664943,805344,631609,848241,486730,778344,946041,878185,788300,942900,936923,1030399,938233,955456,997131,819254,1123421,945763,1112307,1193191,951892,698294,936094,899122,815668,865905,969852,905159,847254,849538,875823,754175,808646,805860,727459,913000
Greenland,North America,https://image.flaticon.com/icons/svg/197/197453.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
